L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.46749,0.58504,0.592577,0.561453,0.665847,0.863394,0.866095,0.848881,0.544448,0.522209,0.563952,0.60878,0.448031,0.471917,0.432178,0.386666,0.246505,0.085685,0.094975,0.089813,0.072974,0.053834,0.057944,0.039305
0.476965,0.598523,0.605731,0.574936,0.659187,0.856668,0.859387,0.842177,0.544345,0.522352,0.563975,0.608972,0.447594,0.471674,0.431921,0.3865,0.24132,0.083758,0.093275,0.087468,0.073288,0.054026,0.058026,0.039243
0.487215,0.613011,0.619872,0.589426,0.652088,0.849496,0.852235,0.835028,0.544272,0.522559,0.564059,0.609225,0.44715,0.471423,0.431657,0.386331,0.235725,0.081741,0.091506,0.08501,0.073617,0.054216,0.058109,0.039176
0.498223,0.628451,0.634945,0.60487,0.644591,0.841922,0.844681,0.827474,0.544239,0.522841,0.564219,0.609548,0.446707,0.471171,0.431391,0.386162,0.229737,0.079661,0.089697,0.082471,0.073961,0.054399,0.058192,0.039107
0.509959,0.644771,0.65088,0.621196,0.636748,0.833995,0.836775,0.819566,0.544257,0.523208,0.564465,0.609952,0.446276,0.470921,0.431129,0.385996,0.223387,0.077551,0.087878,0.079885,0.074317,0.054572,0.05827,0.039035
0.522386,0.661887,0.667595,0.638323,0.628609,0.82577,0.828571,0.811354,0.544336,0.52367,0.564807,0.610445,0.445867,0.470679,0.430877,0.385838,0.216712,0.075445,0.086082,0.077293,0.074679,0.054729,0.058343,0.038962
0.535464,0.679713,0.685003,0.656163,0.620229,0.817299,0.820121,0.802893,0.544485,0.524231,0.565252,0.611033,0.445494,0.470451,0.43064,0.385693,0.209756,0.073382,0.084344,0.074737,0.075044,0.054867,0.058408,0.038889
0.549151,0.69816,0.703016,0.674631,0.611657,0.808636,0.811477,0.794231,0.544712,0.524894,0.5658,0.61172,0.445167,0.470242,0.430423,0.385563,0.202566,0.0714,0.082698,0.072258,0.075408,0.054983,0.058462,0.038818
0.563408,0.717145,0.721551,0.693646,0.602937,0.799825,0.802684,0.785413,0.545024,0.525657,0.566453,0.612508,0.444896,0.470057,0.430233,0.385453,0.195191,0.069539,0.081181,0.0699,0.075769,0.055072,0.058504,0.038751
0.578198,0.736586,0.740526,0.713129,0.594109,0.790908,0.793783,0.776478,0.545426,0.526518,0.567207,0.613396,0.444691,0.4699,0.430072,0.385366,0.187682,0.067839,0.079828,0.067705,0.076126,0.055133,0.058532,0.038687
0.593484,0.75641,0.759868,0.73301,0.585205,0.781918,0.784807,0.767461,0.545921,0.527471,0.568056,0.614379,0.444558,0.469775,0.429945,0.385304,0.180091,0.066339,0.078675,0.065715,0.076476,0.055163,0.058543,0.038628
0.609238,0.776548,0.779509,0.753225,0.576253,0.772883,0.775784,0.758389,0.546513,0.528508,0.568994,0.615453,0.444502,0.469684,0.429854,0.385269,0.172466,0.065078,0.077756,0.063968,0.076821,0.055161,0.058537,0.038574
0.625432,0.796936,0.799387,0.773715,0.567278,0.763826,0.766735,0.749286,0.547208,0.529619,0.570009,0.616608,0.444525,0.469628,0.429801,0.385261,0.16486,0.064095,0.077104,0.062504,0.077161,0.055126,0.058513,0.038525
0.642042,0.817517,0.819446,0.794427,0.558299,0.754764,0.757676,0.740168,0.548008,0.530792,0.57109,0.617834,0.444628,0.469608,0.429786,0.385281,0.157322,0.063428,0.076754,0.06136,0.077498,0.05506,0.058469,0.038481
