L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
1.245854,1.427649,1.436959,1.429048,0.655865,0.773068,0.777022,0.750679,0.55422,0.528895,0.569379,0.607451,0.441989,0.45309,0.420309,0.37536,0.054466,0.06283,0.071335,0.056332,0.177534,0.046936,0.050443,0.04365
1.241202,1.423192,1.432529,1.424623,0.657196,0.769555,0.773465,0.746873,0.55442,0.529046,0.569539,0.6076,0.442905,0.453214,0.420463,0.375625,0.054863,0.061598,0.069792,0.054989,0.181645,0.047637,0.051033,0.045188
1.236216,1.418395,1.427768,1.419864,0.658803,0.765942,0.76977,0.742908,0.554605,0.529188,0.569688,0.60774,0.443858,0.453339,0.420619,0.375922,0.05526,0.06036,0.068263,0.053663,0.186059,0.048485,0.051752,0.046938
1.23092,1.413278,1.422695,1.414785,0.660724,0.76229,0.765995,0.738841,0.55477,0.529313,0.569818,0.607863,0.444835,0.453466,0.420775,0.376252,0.055648,0.059139,0.066786,0.052385,0.190751,0.049498,0.05262,0.048913
1.225342,1.407864,1.417333,1.409411,0.662991,0.758667,0.762206,0.734743,0.55491,0.529419,0.569925,0.607967,0.445821,0.453593,0.420932,0.376617,0.056022,0.057961,0.065389,0.051184,0.19569,0.05069,0.053652,0.051122
1.219513,1.402183,1.411711,1.40377,0.665627,0.75514,0.758472,0.730688,0.555021,0.529505,0.57001,0.608052,0.446802,0.453723,0.42109,0.377016,0.056374,0.056843,0.064097,0.050079,0.200832,0.05207,0.054858,0.053567
1.213466,1.396269,1.405859,1.397892,0.668644,0.751776,0.754865,0.726757,0.555104,0.529573,0.570074,0.60812,0.447762,0.453856,0.421252,0.377447,0.0567,0.055803,0.062925,0.049082,0.206133,0.053644,0.056244,0.056243
1.207232,1.390155,1.39981,1.391809,0.67205,0.748639,0.751461,0.723034,0.555161,0.529625,0.570119,0.608173,0.448687,0.453997,0.421421,0.377908,0.056998,0.054851,0.06188,0.0482,0.211539,0.055409,0.057813,0.059137
1.200843,1.383874,1.393592,1.385549,0.675838,0.74579,0.748333,0.719601,0.555192,0.529662,0.570148,0.608214,0.449565,0.454152,0.421604,0.378396,0.057266,0.053993,0.060962,0.047433,0.216999,0.057357,0.05956,0.06223
1.194324,1.377455,1.387232,1.379144,0.679995,0.743288,0.745554,0.716543,0.555202,0.529687,0.570165,0.608245,0.450382,0.454329,0.421808,0.378907,0.057503,0.053229,0.060166,0.046776,0.222459,0.059477,0.06148,0.065495
1.187703,1.370924,1.380757,1.372619,0.6845,0.741188,0.743194,0.713939,0.555192,0.529701,0.570169,0.608267,0.451127,0.454538,0.422043,0.37944,0.057712,0.052558,0.059483,0.046223,0.227868,0.061755,0.063561,0.0689
1.181,1.364304,1.374186,1.365998,0.689321,0.739544,0.741321,0.711865,0.555165,0.529703,0.570165,0.608282,0.45179,0.454792,0.422319,0.379992,0.057894,0.051974,0.058903,0.045766,0.233177,0.064173,0.065786,0.072407
1.174234,1.357615,1.36754,1.359302,0.694419,0.738407,0.739996,0.710391,0.555126,0.529696,0.570152,0.608291,0.452362,0.455104,0.422648,0.380564,0.05805,0.05147,0.058413,0.045394,0.238341,0.066711,0.068138,0.075974
1.167422,1.350874,1.360833,1.352548,0.699751,0.737829,0.739275,0.709578,0.555076,0.529679,0.570133,0.608297,0.452838,0.455486,0.423041,0.381156,0.058186,0.051039,0.058002,0.045096,0.243322,0.069347,0.070594,0.079555
1.160577,1.344093,1.354081,1.345751,0.70527,0.737857,0.73921,0.709483,0.555019,0.529655,0.570109,0.608299,0.453213,0.455949,0.423508,0.381769,0.058303,0.05067,0.057657,0.04486,0.248085,0.072057,0.073128,0.083103
1.15371,1.337285,1.347295,1.338923,0.710924,0.73854,0.739848,0.710151,0.554957,0.529625,0.570082,0.608299,0.453486,0.456502,0.424058,0.382408,0.058407,0.050356,0.057366,0.044676,0.252602,0.074816,0.075715,0.086571
1.146831,1.330457,1.340484,1.332075,0.716666,0.739919,0.741229,0.711619,0.554893,0.529589,0.570052,0.608297,0.45366,0.457148,0.424696,0.383074,0.058499,0.050088,0.057121,0.044535,0.25685,0.077597,0.078323,0.089911
1.139944,1.323618,1.333657,1.325214,0.722451,0.742029,0.743384,0.71391,0.554829,0.52955,0.57002,0.608293,0.453741,0.457888,0.425422,0.383771,0.058585,0.049858,0.056912,0.044426,0.260809,0.080368,0.080922,0.093075
1.133056,1.316773,1.32682,1.318345,0.728244,0.744896,0.746334,0.717035,0.554765,0.529507,0.569986,0.608288,0.453738,0.458716,0.426235,0.384499,0.058666,0.049659,0.056731,0.044342,0.264461,0.083098,0.083474,0.09602
1.126171,1.309924,1.319977,1.311475,0.73402,0.748531,0.750082,0.720988,0.554703,0.529462,0.569952,0.608282,0.453667,0.459623,0.427127,0.38526,0.058746,0.049485,0.056572,0.044275,0.267789,0.085754,0.085947,0.09871
1.119289,1.303077,1.313133,1.304605,0.739765,0.752933,0.754622,0.725748,0.554644,0.529417,0.569919,0.608274,0.453543,0.460593,0.428086,0.38605,0.058828,0.049331,0.056429,0.044221,0.27078,0.088301,0.088303,0.101114
1.112413,1.296231,1.30629,1.297737,0.745475,0.758088,0.759932,0.731282,0.554589,0.529372,0.569886,0.608267,0.453388,0.461608,0.429097,0.386864,0.058912,0.049193,0.056297,0.044175,0.273417,0.090704,0.090511,0.10321
1.105542,1.289389,1.299448,1.290874,0.751156,0.76397,0.765976,0.737545,0.554538,0.529328,0.569857,0.608259,0.453225,0.462647,0.430141,0.387695,0.059001,0.049067,0.056174,0.044132,0.275689,0.09293,0.092541,0.104985
1.098676,1.28255,1.292609,1.284016,0.756819,0.770547,0.772716,0.744488,0.554493,0.529286,0.569829,0.608252,0.453078,0.463688,0.431199,0.38853,0.059096,0.048952,0.056057,0.04409,0.277583,0.094948,0.094368,0.106434
1.091813,1.275714,1.285773,1.277163,0.762479,0.77778,0.780102,0.752057,0.554453,0.529248,0.569805,0.608246,0.45297,0.464707,0.432247,0.389358,0.059196,0.048845,0.055944,0.044047,0.279087,0.096731,0.09597,0.107557
1.084953,1.268882,1.27894,1.270313,0.768152,0.785627,0.788088,0.7602,0.55442,0.529214,0.569784,0.60824,0.452926,0.465684,0.433265,0.390163,0.059301,0.048746,0.055834,0.044002,0.280193,0.098256,0.097335,0.108362
1.078095,1.262052,1.27211,1.263468,0.773854,0.794047,0.796624,0.768865,0.554392,0.529183,0.569765,0.608235,0.452963,0.466597,0.434231,0.390932,0.059412,0.048652,0.055727,0.043954,0.280893,0.099506,0.09845,0.10886
1.071236,1.255225,1.265283,1.256626,0.779602,0.802997,0.805666,0.778006,0.554369,0.529157,0.569749,0.608231,0.453099,0.467431,0.435127,0.391649,0.059528,0.048563,0.055622,0.043904,0.281181,0.100469,0.099313,0.109063
