FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
18.6698,-34.343002,-39.73481,14.393674,464.523926,153.52211
19.390791,-34.632893,-39.374367,13.715128,462.158783,158.103317
20.180273,-34.913311,-38.990318,13.036592,459.77771,162.87056
21.031406,-35.186069,-38.584072,12.360272,457.376343,167.811157
21.937609,-35.452843,-38.156979,11.688342,454.950592,172.912689
22.892574,-35.715199,-37.710342,11.022918,452.496643,178.163132
23.890276,-35.974556,-37.245422,10.366033,450.010956,183.550797
24.924946,-36.232231,-36.763412,9.719645,447.490265,189.064316
25.991055,-36.489403,-36.26548,9.08562,444.931732,194.692535
27.083279,-36.747158,-35.752743,8.465745,442.332642,200.424591
28.196537,-37.006447,-35.22628,7.861708,439.690582,206.249847
29.325996,-37.268097,-34.687157,7.275107,437.003235,212.158096
30.467083,-37.532845,-34.136368,6.707454,434.268585,218.139389
31.615471,-37.801327,-33.574867,6.160194,431.484863,224.184158
32.767052,-38.074131,-33.003578,5.634723,428.650574,230.283051
33.917923,-38.351791,-32.423378,5.132381,425.764404,236.426971
35.064377,-38.634777,-31.835131,4.654435,422.825256,242.607071
36.2029,-38.923462,-31.239656,4.202065,419.832123,248.81485
37.330185,-39.218124,-30.63776,3.776362,416.78421,255.04213
38.443134,-39.51894,-30.030212,3.37834,413.680847,261.281097
39.538822,-39.826004,-29.417738,3.008954,410.52179,267.5242
40.61451,-40.139381,-28.801041,2.669113,407.306824,273.764069
41.667652,-40.459095,-28.180805,2.359678,404.035828,279.993713
42.695889,-40.785118,-27.557699,2.081453,400.708862,286.206268
43.697044,-41.117413,-26.932354,1.835177,397.32608,292.395386
44.669098,-41.455891,-26.305386,1.621515,393.887756,298.555054
45.610184,-41.800457,-25.677366,1.44105,390.394409,304.679565
46.518543,-42.151005,-25.048864,1.294277,386.846741,310.763428
47.392559,-42.507397,-24.420439,1.181587,383.245483,316.801483
48.230755,-42.869453,-23.792639,1.103261,379.591431,322.788818
49.031818,-43.236969,-23.166,1.059469,375.885406,328.720947
49.794579,-43.609688,-22.541023,1.05029,372.128479,334.59375
50.518032,-43.987347,-21.918182,1.075728,368.321716,340.403442
51.201267,-44.369717,-21.297926,1.135733,364.4664,346.146576
51.843498,-44.756596,-20.680708,1.230204,360.563873,351.819824
52.444035,-45.147774,-20.066948,1.358973,356.615448,357.420227
53.002293,-45.543037,-19.457054,1.521787,352.622528,362.94516
53.517788,-45.942127,-18.851419,1.718291,348.586517,368.392395
53.990154,-46.344749,-18.250408,1.948022,344.509094,373.759949
54.419094,-46.750584,-17.654396,2.210416,340.391968,379.046051
54.804413,-47.159306,-17.063755,2.504805,336.236877,384.249207
55.146019,-47.570591,-16.478849,2.830423,332.045471,389.368011
55.443886,-47.984089,-15.900002,3.186418,327.819519,394.401398
55.698105,-48.399445,-15.327518,3.57187,323.560791,399.348663
55.908836,-48.816296,-14.761663,3.985823,319.27121,404.20929
56.076317,-49.234325,-14.202688,4.427301,314.952759,408.983032
56.200802,-49.653202,-13.650819,4.895319,310.607422,413.669739
56.282639,-50.07262,-13.106264,5.388868,306.237122,418.269348
56.322205,-50.492229,-12.569217,5.906903,301.843933,422.782043
56.319984,-50.911663,-12.039851,6.448322,297.429688,427.20813
56.27652,-51.330502,-11.518342,7.011961,292.996521,431.548218
56.192413,-51.748367,-11.004862,7.596604,288.546509,435.803009
56.068302,-52.164883,-10.499585,8.200991,284.081757,439.973175
55.904858,-52.57972,-10.002681,8.823828,279.604401,444.059509
55.702778,-52.992561,-9.514306,9.463798,275.116547,448.062897
55.462811,-53.403091,-9.034603,10.119572,270.62027,451.984344
55.185753,-53.810993,-8.563693,10.789832,266.117645,455.825012
54.87244,-54.215942,-8.101677,11.473303,261.610779,459.58609
54.523735,-54.617645,-7.648636,12.168763,257.101898,463.268738
54.140533,-55.015804,-7.204648,12.875035,252.593048,466.874084
53.723736,-55.410137,-6.769788,13.590954,248.086349,470.40332
53.2743,-55.800346,-6.344141,14.315344,243.583832,473.857635
52.793175,-56.186134,-5.927792,15.047008,239.08754,477.238373
52.281364,-56.567207,-5.52083,15.784737,234.599564,480.546936
51.739864,-56.943306,-5.123343,16.527313,230.122009,483.784576
51.169678,-57.314198,-4.735415,17.273529,225.656967,486.952423
50.571857,-57.679649,-4.357136,18.022171,221.206406,490.051666
