L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.550245,0.750665,0.74943,0.731043,0.628666,0.805498,0.807546,0.780015,0.575595,0.552003,0.593977,0.642155,0.462013,0.469805,0.430317,0.38879,0.072314,0.045428,0.05788,0.040296,0.155661,0.068939,0.075643,0.05898
0.545555,0.746017,0.744752,0.726372,0.639007,0.817641,0.819449,0.792336,0.5755,0.552075,0.593885,0.642262,0.461442,0.468793,0.429321,0.387869,0.072406,0.045426,0.057791,0.040298,0.150518,0.068492,0.07535,0.058096
0.540552,0.741055,0.739758,0.721379,0.650137,0.830621,0.832166,0.805509,0.57539,0.552146,0.593798,0.642363,0.460816,0.467686,0.428233,0.386855,0.072508,0.045416,0.057698,0.040295,0.145107,0.068132,0.075144,0.057265
0.535267,0.735804,0.734478,0.71609,0.662014,0.844363,0.845625,0.819461,0.575266,0.552213,0.593719,0.642457,0.460131,0.466486,0.427055,0.385747,0.072618,0.045396,0.057602,0.040285,0.139486,0.067896,0.075058,0.056524
0.529734,0.7303,0.728946,0.710539,0.674581,0.858776,0.859734,0.834101,0.575124,0.552276,0.593651,0.642541,0.459383,0.465196,0.42579,0.384546,0.072738,0.045365,0.057503,0.040267,0.133718,0.06782,0.075126,0.055913
0.52399,0.724578,0.723198,0.704762,0.687772,0.873756,0.874394,0.849331,0.574966,0.552334,0.593595,0.642614,0.458566,0.463822,0.424444,0.383256,0.072867,0.045323,0.0574,0.040242,0.127872,0.067941,0.075382,0.055475
0.518073,0.718676,0.717269,0.698796,0.701517,0.889195,0.889501,0.865049,0.57479,0.552388,0.593551,0.642677,0.457673,0.462373,0.423024,0.381884,0.073007,0.045269,0.057295,0.040209,0.122015,0.068292,0.075855,0.055246
0.512018,0.712629,0.711197,0.692676,0.715744,0.904985,0.90495,0.881151,0.574597,0.552438,0.593516,0.642732,0.456698,0.46086,0.421542,0.380438,0.073156,0.045203,0.057188,0.040169,0.116212,0.068905,0.076576,0.055265
0.505857,0.70647,0.705011,0.686437,0.730374,0.921019,0.920641,0.897538,0.574385,0.552485,0.593491,0.642778,0.455629,0.459293,0.420007,0.378928,0.073316,0.045125,0.057078,0.040123,0.110527,0.069807,0.077571,0.055564
0.499619,0.700228,0.698741,0.680106,0.745331,0.937195,0.936475,0.914113,0.574155,0.552529,0.593474,0.642819,0.454458,0.457687,0.418431,0.377364,0.073488,0.045036,0.056966,0.040074,0.105018,0.07102,0.078862,0.056174
