L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.423314,0.552795,0.569021,0.529826,1.110296,1.309879,1.317145,1.282506,0.571752,0.541078,0.594516,0.642891,0.438754,0.454067,0.408697,0.359414,0.192069,0.048006,0.053046,0.047249,0.065335,0.088676,0.099429,0.064951
0.424452,0.548722,0.564817,0.525437,1.105781,1.305698,1.313184,1.278082,0.571558,0.541077,0.594408,0.642709,0.438384,0.45381,0.408374,0.359213,0.196782,0.049091,0.05358,0.048873,0.065898,0.086654,0.097141,0.063073
0.425884,0.54453,0.560468,0.520892,1.100918,1.301173,1.308895,1.273312,0.571344,0.541093,0.594315,0.642504,0.437991,0.453549,0.408048,0.359008,0.201877,0.050407,0.054298,0.050785,0.066484,0.084559,0.094765,0.061135
0.427659,0.54029,0.556044,0.516264,1.095722,1.296313,1.304284,1.268209,0.571107,0.541128,0.594242,0.642274,0.437579,0.453288,0.407726,0.358802,0.207332,0.051984,0.055231,0.053014,0.067085,0.082422,0.092335,0.059165
0.429816,0.536082,0.551621,0.511634,1.090219,1.291136,1.299368,1.262797,0.570845,0.541185,0.594194,0.642017,0.437153,0.453033,0.407415,0.358597,0.213115,0.053843,0.056405,0.055584,0.067693,0.080272,0.089883,0.057196
0.432385,0.531987,0.547278,0.507086,1.084436,1.285666,1.294165,1.257102,0.570554,0.541266,0.594174,0.641734,0.436723,0.452792,0.407125,0.358398,0.219184,0.055993,0.057842,0.058507,0.068298,0.078138,0.087442,0.055258
0.435386,0.528086,0.543096,0.502706,1.078404,1.27993,1.2887,1.251154,0.57023,0.541373,0.594182,0.641425,0.436296,0.452572,0.406863,0.358211,0.225486,0.058435,0.059553,0.061786,0.068892,0.076047,0.085043,0.053379
0.438827,0.524459,0.539155,0.498581,1.072157,1.273958,1.282997,1.244985,0.569868,0.541505,0.594218,0.641092,0.435882,0.452379,0.406634,0.358037,0.231964,0.061157,0.061543,0.065412,0.069468,0.07402,0.082712,0.051586
0.442708,0.521182,0.535534,0.494798,1.065723,1.267777,1.277081,1.238624,0.569462,0.541657,0.594281,0.640735,0.435489,0.452217,0.406444,0.35788,0.238552,0.064139,0.063806,0.069364,0.070019,0.072077,0.080475,0.049901
0.447016,0.518327,0.532314,0.49144,1.059132,1.261416,1.270975,1.232098,0.569005,0.541826,0.594367,0.640354,0.435125,0.45209,0.406296,0.357739,0.245187,0.067353,0.066329,0.07361,0.07054,0.070232,0.078349,0.048343
0.451728,0.515963,0.529572,0.488587,1.052409,1.2549,1.264703,1.225431,0.568491,0.542005,0.594473,0.639952,0.434796,0.452,0.406193,0.357616,0.251801,0.070761,0.069091,0.078108,0.071026,0.068497,0.076353,0.046926
0.456813,0.514156,0.527383,0.486315,1.045575,1.248251,1.258284,1.218645,0.567914,0.542187,0.594594,0.639531,0.434508,0.451948,0.406133,0.357509,0.258327,0.074322,0.072064,0.082808,0.071475,0.066879,0.074498,0.045658
0.462232,0.512965,0.525818,0.484693,1.038649,1.241488,1.251736,1.211759,0.567267,0.542367,0.594722,0.639095,0.434266,0.451932,0.406116,0.357419,0.264702,0.077992,0.075213,0.087652,0.071884,0.065384,0.072791,0.044544
0.46794,0.512448,0.524943,0.483784,1.031646,1.23463,1.245075,1.204788,0.566548,0.542536,0.59485,0.638649,0.434073,0.451952,0.406139,0.357346,0.270867,0.081724,0.078503,0.092577,0.072255,0.064014,0.071239,0.043584
0.473887,0.512655,0.524818,0.483646,1.024579,1.22769,1.238313,1.197745,0.565755,0.542688,0.594971,0.6382,0.43393,0.452004,0.406198,0.357288,0.276768,0.085472,0.081893,0.097518,0.072587,0.062768,0.069841,0.042774
0.480023,0.513629,0.525495,0.484326,1.017458,1.220682,1.231463,1.19064,0.56489,0.542813,0.595075,0.637754,0.433839,0.452083,0.406287,0.357245,0.282359,0.089194,0.085344,0.102409,0.072883,0.061645,0.068594,0.042104
0.486298,0.51541,0.527019,0.485864,1.010291,1.213617,1.224535,1.183483,0.563958,0.542907,0.595155,0.637318,0.433797,0.452186,0.406402,0.357216,0.2876,0.092849,0.088815,0.107188,0.073146,0.06064,0.067493,0.041563
0.492663,0.518026,0.529427,0.488294,1.003087,1.206507,1.217539,1.176281,0.562967,0.542964,0.595203,0.636902,0.433804,0.452305,0.406536,0.3572,0.292457,0.096397,0.092267,0.111791,0.07338,0.05975,0.06653,0.041139
0.499078,0.521497,0.532739,0.491634,0.99585,1.199358,1.210486,1.16904,0.561928,0.542979,0.595211,0.63651,0.433853,0.452435,0.406682,0.357194,0.296905,0.099802,0.095657,0.11616,0.073589,0.058966,0.065692,0.040817
0.50551,0.525828,0.536965,0.49589,0.988587,1.192181,1.203382,1.161768,0.560851,0.54295,0.595175,0.636149,0.433941,0.452572,0.406836,0.357197,0.300923,0.103026,0.098945,0.120241,0.073778,0.058282,0.064969,0.040582
0.511937,0.531014,0.542096,0.501051,0.981302,1.18498,1.196237,1.154469,0.559749,0.542875,0.59509,0.635818,0.434062,0.452711,0.406991,0.357206,0.304494,0.106037,0.102089,0.123987,0.073952,0.057689,0.064348,0.04042
0.518349,0.537032,0.548108,0.507088,0.974,1.177763,1.189058,1.147148,0.558633,0.542751,0.594953,0.635517,0.434209,0.452846,0.407144,0.357219,0.307606,0.108803,0.10505,0.127357,0.074115,0.057176,0.063816,0.040317
0.524746,0.543851,0.554961,0.513954,0.966685,1.170535,1.181852,1.139812,0.557513,0.542581,0.594765,0.635238,0.434375,0.452976,0.407291,0.357235,0.31025,0.111297,0.107795,0.13032,0.074272,0.056737,0.063359,0.04026
0.531137,0.551426,0.562606,0.52159,0.959361,1.163299,1.174624,1.132463,0.556399,0.542366,0.594525,0.634973,0.434554,0.453096,0.407429,0.35725,0.312421,0.113497,0.110291,0.132853,0.074426,0.05636,0.062965,0.04024
0.537541,0.559707,0.570982,0.529926,0.952031,1.156059,1.167381,1.125106,0.555296,0.542108,0.594239,0.634711,0.434739,0.453206,0.407555,0.357263,0.314115,0.115385,0.112513,0.134943,0.07458,0.056038,0.062624,0.040246
0.543979,0.56864,0.580024,0.538888,0.944697,1.148817,1.160126,1.117743,0.554209,0.541812,0.593911,0.634442,0.434926,0.453305,0.40767,0.357273,0.315332,0.116946,0.114439,0.136581,0.074737,0.055761,0.062326,0.040269
0.550477,0.578166,0.589668,0.5484,0.937362,1.141575,1.152863,1.110378,0.553143,0.541483,0.593547,0.634156,0.435108,0.45339,0.407771,0.357278,0.316072,0.11817,0.116054,0.137768,0.074898,0.055524,0.062061,0.040304
