FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
185.752792,124.826469,-4.219299,-42.807964,925.928711,657.997375
183.881546,122.381882,-4.0915,-42.19944,920.875183,655.838135
181.884827,119.70903,-3.973929,-41.545662,915.547546,653.279053
179.775482,116.827309,-3.865889,-40.848858,909.965698,650.355103
177.56575,113.755219,-3.766713,-40.111225,904.148804,647.09906
175.267258,110.510445,-3.675768,-39.334915,898.115051,643.54248
172.890961,107.109787,-3.592448,-38.522087,891.881836,639.714722
170.447159,103.569359,-3.516175,-37.674881,885.465332,635.644226
167.945557,99.90461,-3.446399,-36.795452,878.881287,631.357971
165.395401,96.130409,-3.382597,-35.885937,872.144592,626.881714
162.805466,92.26104,-3.324266,-34.948456,865.269409,622.239929
160.184021,88.310104,-3.270929,-33.985077,858.269531,617.455872
157.538849,84.290474,-3.222121,-32.997833,851.157898,612.551208
154.877243,80.214302,-3.177397,-31.988699,843.946655,607.546326
152.205872,76.093018,-3.136322,-30.959618,836.6474,602.460205
149.531021,71.937431,-3.098483,-29.912489,829.270569,597.310974
146.858398,67.757835,-3.06348,-28.84919,821.826233,592.115601
144.193497,63.564053,-3.030934,-27.771572,814.323975,586.890198
141.541367,59.365391,-3.000482,-26.681475,806.772827,581.650146
138.906723,55.17067,-2.971777,-25.580713,799.181396,576.409668
136.2939,50.988121,-2.944489,-24.471066,791.557861,571.181824
133.706757,46.825386,-2.918298,-23.35425,783.909485,565.97876
131.148788,42.689537,-2.892893,-22.231934,776.243408,560.811768
128.623093,38.587143,-2.867971,-21.10573,768.565613,555.691101
126.132507,34.524361,-2.843246,-19.977196,760.882019,550.626526
123.679604,30.506952,-2.818447,-18.847818,753.19812,545.627197
121.266785,26.540297,-2.79332,-17.719021,745.519104,540.701843
118.896194,22.62932,-2.767628,-16.592138,737.849792,535.858459
116.569717,18.778488,-2.741143,-15.468437,730.194702,531.104004
114.288872,14.991763,-2.713653,-14.349117,722.557922,526.44519
112.054878,11.272663,-2.684961,-13.235319,714.942871,521.887451
109.868721,7.624333,-2.654888,-12.128131,707.352661,517.436157
107.73114,4.049619,-2.623266,-11.028584,699.790283,513.09613
105.642815,0.551079,-2.589937,-9.937647,692.257996,508.87207
103.604294,-2.869024,-2.554756,-8.856215,684.758545,504.768158
101.61602,-6.208774,-2.517591,-7.785089,677.293945,500.788422
99.678299,-9.466649,-2.478323,-6.724979,669.866394,496.936188
97.791145,-12.641518,-2.436845,-5.6765,662.477539,493.214142
95.954361,-15.732587,-2.393059,-4.640184,655.12854,489.624695
94.16758,-18.739311,-2.346876,-3.616493,647.820618,486.169861
92.430305,-21.661322,-2.298218,-2.605844,640.554443,482.851654
90.741982,-24.498383,-2.247027,-1.608619,633.330872,479.671844
89.102043,-27.250427,-2.193263,-0.625164,626.150757,476.632172
87.509895,-29.917612,-2.1369,0.344209,619.014709,473.7341
85.964844,-32.50037,-2.077918,1.299235,611.92334,470.978699
84.466026,-34.999416,-2.016303,2.239695,604.876831,468.366486
83.012474,-37.415707,-1.952048,3.16541,597.875305,465.897888
81.60305,-39.75032,-1.885151,4.076234,590.918518,463.573029
80.236565,-42.004383,-1.815621,4.972047,584.006409,461.391968
78.911888,-44.179031,-1.743473,5.852752,577.138733,459.354889
77.627815,-46.27544,-1.668731,6.718256,570.315369,457.461914
76.383209,-48.294876,-1.591426,7.568473,563.536316,455.712952
75.176872,-50.238792,-1.511592,8.403323,556.801208,454.107666
74.007469,-52.108803,-1.429267,9.222725,550.109924,452.645233
72.873657,-53.906651,-1.344496,10.026592,543.461609,451.324646
71.773994,-55.634144,-1.257325,10.81483,536.855957,450.144806
70.707054,-57.293037,-1.167809,11.587327,530.292053,449.104645
69.671448,-58.88501,-1.076011,12.343968,523.769592,448.203156
68.665878,-60.411686,-0.982001,13.084632,517.288025,447.439453
67.689011,-61.874706,-0.885853,13.80921,510.847137,446.812439
66.739517,-63.275787,-0.787642,14.517614,504.44632,446.32077
65.815994,-64.616768,-0.687439,15.20977,498.085144,445.962769
64.917015,-65.899559,-0.585319,15.885606,491.76297,445.736481
64.041138,-67.126068,-0.481363,16.545031,485.479004,445.639984
63.187,-68.298096,-0.375665,17.18795,479.232666,445.671478
62.353287,-69.417381,-0.268335,17.814249,473.023468,445.829254
61.53878,-70.485535,-0.159496,18.423832,466.851044,446.111664
60.742279,-71.50412,-0.049279,19.0166,460.715057,446.517029
59.962574,-72.474808,0.062182,19.592489,454.615204,447.043457
59.198425,-73.399269,0.174753,20.151463,448.551086,447.68869
58.448536,-74.279282,0.288298,20.693504,442.522217,448.450287
57.711639,-75.116531,0.402681,21.218615,436.528046,449.325928
56.986549,-75.912636,0.517763,21.726807,430.568146,450.313324
56.272175,-76.669067,0.633398,22.218082,424.642212,451.410461
55.567547,-77.387192,0.749432,22.692476,418.750122,452.615417
54.871731,-78.068398,0.865695,23.150036,412.891846,453.92627
54.183826,-78.71405,0.982004,23.590849,407.067261,455.340851
53.502865,-79.325623,1.098163,24.015032,401.276276,456.85675
52.827877,-79.904556,1.213964,24.422726,395.518616,458.471405
52.15789,-80.452286,1.329197,24.814091,389.794128,460.18222
51.492016,-80.970093,1.443653,25.189289,384.102661,461.986938
50.829475,-81.459129,1.557123,25.5485,378.444275,463.883423
50.169601,-81.920448,1.669398,25.891916,372.819183,465.869781
