L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.574797,0.776486,0.774609,0.755244,0.626277,0.803302,0.799439,0.766551,0.551711,0.528418,0.570727,0.6196,0.477166,0.452551,0.413884,0.375334,0.07314,0.046678,0.055835,0.038537,0.143303,0.060619,0.071416,0.059395
0.57198,0.773738,0.771804,0.752461,0.633823,0.812339,0.808349,0.775848,0.55167,0.528445,0.570727,0.6196,0.4767,0.452053,0.413437,0.37476,0.07321,0.046683,0.055841,0.038486,0.139271,0.060294,0.07106,0.058462
0.568981,0.770804,0.768819,0.749493,0.641941,0.82199,0.817867,0.78578,0.551623,0.528466,0.570723,0.6196,0.476149,0.451517,0.412954,0.374143,0.07328,0.046684,0.055845,0.038437,0.135047,0.059996,0.070728,0.057523
0.56582,0.767701,0.765672,0.746359,0.650601,0.832204,0.827942,0.796294,0.551573,0.528481,0.570716,0.6196,0.475508,0.450944,0.412437,0.373489,0.073348,0.046684,0.055848,0.038394,0.130681,0.059741,0.070438,0.056603
0.562518,0.764449,0.762384,0.743079,0.659762,0.842913,0.838511,0.807326,0.551519,0.52849,0.570705,0.6196,0.47477,0.450341,0.411888,0.372801,0.073413,0.046681,0.055847,0.038354,0.126224,0.059549,0.070209,0.055726
0.559096,0.76107,0.758977,0.739674,0.669376,0.854048,0.849505,0.818804,0.551463,0.528492,0.570692,0.619601,0.473936,0.449714,0.411315,0.372086,0.073476,0.046675,0.055845,0.03832,0.121729,0.059439,0.070059,0.054917
0.555574,0.757585,0.755471,0.736164,0.679396,0.865535,0.860854,0.830656,0.551405,0.528488,0.570678,0.619601,0.473015,0.44907,0.410723,0.371353,0.073535,0.046668,0.055839,0.038289,0.117247,0.059431,0.070008,0.054201
0.551973,0.754016,0.751884,0.732569,0.689771,0.877303,0.87249,0.842813,0.551348,0.52848,0.570665,0.6196,0.472014,0.44842,0.410121,0.37061,0.073592,0.046659,0.055831,0.038261,0.112826,0.059544,0.070075,0.053601
0.548309,0.750382,0.748235,0.728907,0.700452,0.889287,0.88435,0.85521,0.551292,0.52847,0.570654,0.619599,0.470947,0.447771,0.409518,0.369866,0.073646,0.046649,0.055821,0.038233,0.10851,0.059798,0.07028,0.05314
0.544601,0.7467,0.744539,0.725195,0.711391,0.901424,0.896373,0.867786,0.551238,0.528459,0.570646,0.619596,0.469823,0.447136,0.408921,0.36913,0.073698,0.046639,0.055808,0.038207,0.104341,0.060212,0.070641,0.05284
