L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.29325,0.426333,0.443031,0.401613,0.820499,1.002507,1.011166,0.980277,0.577034,0.552758,0.601736,0.645912,0.442804,0.476273,0.427121,0.384959,0.169667,0.047165,0.053308,0.050538,0.067322,0.046019,0.06063,0.037237
0.294259,0.424205,0.441047,0.399688,0.817367,0.999469,1.008101,0.977204,0.576704,0.552672,0.60162,0.645765,0.442878,0.476298,0.427088,0.384857,0.17359,0.04816,0.054026,0.052295,0.067527,0.045907,0.060422,0.037213
0.295459,0.422006,0.439001,0.397698,0.814021,0.99622,1.004822,0.973917,0.576321,0.552576,0.601484,0.645589,0.442944,0.476321,0.427053,0.384754,0.177798,0.049286,0.054846,0.054233,0.067726,0.045797,0.060212,0.037185
0.296874,0.41977,0.436926,0.395675,0.81048,0.992776,1.001348,0.970434,0.57588,0.55247,0.601327,0.64538,0.443001,0.476344,0.427016,0.384651,0.182266,0.050552,0.055778,0.056354,0.067914,0.045693,0.060003,0.037153
0.298524,0.417541,0.434858,0.393655,0.806768,0.989159,0.997698,0.966776,0.575376,0.552352,0.601149,0.645134,0.443045,0.476365,0.426978,0.38455,0.186965,0.051961,0.056827,0.058655,0.068085,0.045597,0.0598,0.037116
0.300423,0.415361,0.432833,0.391676,0.802908,0.98539,0.993896,0.962967,0.574806,0.552222,0.60095,0.644848,0.443076,0.476383,0.426938,0.384451,0.191855,0.053515,0.057997,0.061129,0.068235,0.045512,0.059606,0.037076
0.302581,0.413276,0.430888,0.389772,0.798924,0.981493,0.989966,0.959031,0.574168,0.552077,0.600733,0.64452,0.443091,0.476399,0.426896,0.384356,0.196894,0.055211,0.059287,0.063764,0.068363,0.045438,0.059423,0.037032
0.305001,0.411331,0.429057,0.387982,0.794838,0.97749,0.98593,0.95499,0.573461,0.551918,0.6005,0.64415,0.44309,0.476411,0.42685,0.384265,0.202037,0.057043,0.060695,0.066545,0.068468,0.045376,0.059251,0.036985
0.307679,0.409569,0.427374,0.38634,0.790671,0.9734,0.981809,0.950866,0.572687,0.551742,0.600254,0.643736,0.443074,0.476419,0.426802,0.384177,0.207235,0.059,0.062216,0.069453,0.068552,0.045326,0.059093,0.036936
0.310608,0.408035,0.425875,0.384885,0.786441,0.969243,0.977623,0.946677,0.571847,0.551551,0.6,0.643282,0.443044,0.476423,0.426751,0.384092,0.212442,0.061067,0.063843,0.072466,0.068616,0.045288,0.058948,0.036885
0.313775,0.406769,0.424596,0.383651,0.782167,0.965035,0.973387,0.94244,0.570945,0.551344,0.599743,0.642789,0.443001,0.476422,0.426697,0.38401,0.21761,0.06323,0.065567,0.07556,0.068663,0.045261,0.058817,0.036833
0.317163,0.405814,0.423573,0.382676,0.777862,0.960789,0.969118,0.938169,0.569985,0.551123,0.599487,0.642265,0.442947,0.476417,0.426642,0.383932,0.222691,0.065471,0.067379,0.078711,0.068694,0.045244,0.058698,0.03678
0.320751,0.40521,0.422845,0.381998,0.773541,0.956519,0.964826,0.933876,0.568972,0.550892,0.599237,0.641716,0.442886,0.476407,0.426585,0.383856,0.227641,0.06777,0.06927,0.081894,0.068713,0.045236,0.058592,0.036725
0.324513,0.404992,0.422453,0.381655,0.769215,0.952234,0.960521,0.929571,0.567913,0.550653,0.598997,0.641151,0.442822,0.476391,0.426527,0.383783,0.232417,0.070107,0.071229,0.085083,0.068722,0.045237,0.058498,0.036671
0.328425,0.405196,0.422436,0.381686,0.764892,0.947941,0.956212,0.925262,0.566816,0.550411,0.598771,0.640578,0.442758,0.476371,0.426468,0.383712,0.236981,0.072464,0.073245,0.088252,0.068721,0.045246,0.058414,0.036615
0.33246,0.405854,0.422837,0.382127,0.760578,0.943647,0.951903,0.920953,0.565691,0.550168,0.598561,0.640009,0.442695,0.476347,0.426408,0.383644,0.241297,0.074819,0.075309,0.091379,0.068715,0.045262,0.058339,0.03656
0.336589,0.40699,0.423694,0.383013,0.756276,0.939355,0.947599,0.91665,0.564546,0.54993,0.598369,0.639454,0.442634,0.476318,0.426349,0.383579,0.245335,0.077154,0.077409,0.094439,0.068704,0.045283,0.058272,0.036504
0.34079,0.408625,0.425041,0.384374,0.751986,0.935066,0.943301,0.912354,0.563394,0.5497,0.598195,0.638921,0.442574,0.476287,0.426289,0.383516,0.249068,0.07945,0.079532,0.097409,0.068692,0.04531,0.058213,0.036448
0.34504,0.410772,0.426905,0.386232,0.747707,0.930784,0.939012,0.908066,0.562247,0.549483,0.598038,0.638419,0.442517,0.476254,0.426229,0.383456,0.252476,0.081685,0.081662,0.100266,0.06868,0.045342,0.058162,0.036393
0.349323,0.413435,0.429302,0.388604,0.743439,0.926507,0.934731,0.903788,0.561116,0.54928,0.597898,0.637955,0.442461,0.476218,0.42617,0.383399,0.255543,0.083841,0.083781,0.102987,0.068668,0.045378,0.058117,0.036338
0.353629,0.416609,0.432239,0.391493,0.739179,0.922235,0.930458,0.899518,0.560013,0.549094,0.597773,0.637534,0.442407,0.476182,0.426111,0.383345,0.258257,0.085896,0.085867,0.105551,0.068658,0.045417,0.058079,0.036284
0.357954,0.420284,0.435711,0.394896,0.734926,0.917969,0.926191,0.895256,0.55895,0.548928,0.597662,0.637159,0.442356,0.476145,0.426053,0.383294,0.260612,0.08783,0.087897,0.107935,0.068649,0.04546,0.058046,0.036232
0.362298,0.424441,0.439705,0.398798,0.73068,0.913706,0.92193,0.891001,0.557937,0.548782,0.597566,0.636831,0.442308,0.476109,0.425995,0.383246,0.262604,0.089626,0.089848,0.110119,0.068641,0.045506,0.058019,0.03618
0.366666,0.429057,0.4442,0.403178,0.726439,0.909446,0.917674,0.886751,0.556985,0.548657,0.597483,0.63655,0.442262,0.476073,0.425939,0.383201,0.264235,0.091264,0.091695,0.112085,0.068633,0.045553,0.057997,0.03613
