FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
-34.01379,128.941818,71.674973,84.93969,393.661011,332.107635
-35.435734,127.755394,70.557259,83.685875,397.637421,328.831421
-36.879044,126.491905,69.34359,82.326454,401.621033,325.57605
-38.341892,125.155716,68.041321,80.870789,405.612976,322.334473
-39.822418,123.751038,66.657532,79.327896,409.614197,319.100067
-41.318768,122.281929,65.198997,77.706413,413.625305,315.866913
-42.829067,120.752342,63.67218,76.014587,417.646576,312.629395
-44.351433,119.166092,62.083229,74.260345,421.677979,309.382507
-45.883965,117.526855,60.438011,72.451294,425.719147,306.121704
-47.424782,115.838257,58.742126,70.594704,429.76947,302.842926
-48.971996,114.103752,57.00095,68.697533,433.828217,299.542511
-50.523735,112.326714,55.219589,66.766357,437.894318,296.217346
-52.078114,110.510376,53.402878,64.807442,441.966461,292.864624
-53.633213,108.657822,51.555416,62.826767,446.043243,289.482178
-55.187122,106.772118,49.681606,60.830009,450.123108,286.067993
-56.737995,104.856178,47.785622,58.822586,454.204285,282.620361
-58.284061,102.912872,45.871437,56.80957,458.284943,279.138092
-59.823662,100.944977,43.94278,54.795731,462.363159,275.62027
-61.355183,98.955193,42.003124,52.785553,466.436859,272.066406
-62.877056,96.946114,40.055756,50.783287,470.503662,268.476257
-64.387749,94.920303,38.103786,48.792927,474.561462,264.849823
-65.885757,92.880173,36.150173,46.818188,478.607941,261.187469
-67.369644,90.828049,34.197712,44.862526,482.640839,257.489685
-68.837982,88.766151,32.249016,42.929127,486.657837,253.757263
-70.289413,86.696655,30.306536,41.020962,490.656647,249.991333
-71.722626,84.621696,28.372593,39.140793,494.634857,246.193054
-73.136406,82.543381,26.449402,37.291172,498.590118,242.363922
-74.529625,80.463753,24.539055,35.474373,502.520172,238.505554
-75.901222,78.384804,22.643503,33.692467,506.422729,234.61972
-77.250175,76.308441,20.764536,31.9473,510.295624,230.708389
-78.575462,74.236496,18.903805,30.240549,514.136658,226.773605
-79.876068,72.170769,17.062862,28.573719,517.943665,222.81752
-81.151024,70.112946,15.243193,26.948128,521.714844,218.842407
-82.399429,68.064697,13.446186,25.364902,525.448181,214.850571
-83.620445,66.027672,11.673128,23.825012,529.141785,210.844528
-84.813309,64.003456,9.925196,22.329298,532.793823,206.826828
-85.977325,61.99358,8.203482,20.878473,536.402588,202.800018
-87.11187,59.999588,6.509017,19.47312,539.966431,198.766647
-88.216347,58.022911,4.842781,18.113659,543.484009,194.72937
-89.290276,56.064922,3.205671,16.800371,546.953979,190.690781
-90.333221,54.126911,1.598477,15.5334,550.375061,186.653549
-91.344719,52.210129,0.021884,14.312801,553.746033,182.620331
-92.324409,50.315781,-1.523492,13.13853,557.065796,178.593781
-93.271919,48.445049,-3.037076,12.010435,560.333374,174.576538
-94.186981,46.59906,-4.518332,10.928263,563.547852,170.571228
-95.069374,44.778908,-5.966796,9.891665,566.708496,166.58046
-95.91893,42.98563,-7.382088,8.900238,569.814575,162.606766
-96.735527,41.22023,-8.763902,7.953511,572.86554,158.652603
-97.519035,39.483669,-10.111968,7.050948,575.860962,154.720398
-98.269447,37.776855,-11.426034,6.191915,578.800171,150.812637
-98.986748,36.100628,-12.705896,5.375689,581.682922,146.931641
-99.670959,34.455746,-13.951422,4.601487,584.508911,143.079803
-100.322083,32.842903,-15.162562,3.868484,587.277771,139.259354
-100.940086,31.262737,-16.33931,3.175823,589.98938,135.472473
-101.525002,29.715836,-17.481676,2.522598,592.643311,131.721176
-102.076881,28.202742,-18.58967,1.907853,595.239685,128.007431
-102.595863,26.723969,-19.66334,1.33059,597.778442,124.33313
-103.082123,25.279982,-20.702801,0.789792,600.259399,120.700134
-103.53582,23.871223,-21.70822,0.284435,602.682434,117.110222
-103.957161,22.498079,-22.679762,-0.186524,605.047485,113.564995
-104.346329,21.16087,-23.617601,-0.624157,607.354553,110.066032
-104.703529,19.859846,-24.521914,-1.029567,609.603577,106.614799
-105.028954,18.595179,-25.39292,-1.403878,611.794678,103.212685
-105.322815,17.366966,-26.230902,-1.748217,613.927856,99.860939
-105.58532,16.175293,-27.036171,-2.063698,616.003052,96.560684
-105.816681,15.020219,-27.809019,-2.351437,618.020325,93.313004
-106.017212,13.901778,-28.549725,-2.612561,619.979675,90.118896
-106.187248,12.81996,-29.258575,-2.8482,621.881042,86.979332
-106.327126,11.774685,-29.9359,-3.059472,623.72467,83.895172
-106.437172,10.765808,-30.582069,-3.247463,625.510254,80.867119
-106.517662,9.79312,-31.19747,-3.413224,627.237915,77.89576
-106.568893,8.856369,-31.782463,-3.557799,628.907776,74.981636
-106.591179,7.955256,-32.33741,-3.682241,630.519836,72.125206
-106.584869,7.089448,-32.86272,-3.787604,632.074097,69.326958
