L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.383002,0.458959,0.476949,0.436891,1.027318,1.227399,1.239133,1.203917,0.606649,0.589636,0.641813,0.688689,0.430156,0.45749,0.412289,0.36195,0.234724,0.05697,0.060682,0.069209,0.068996,0.074838,0.084158,0.052153
0.386653,0.456618,0.474138,0.434235,1.022035,1.222275,1.234194,1.198625,0.605972,0.589509,0.641681,0.68822,0.429979,0.457421,0.412273,0.361787,0.239924,0.060017,0.063012,0.072966,0.069451,0.073243,0.082353,0.051002
0.390642,0.454412,0.471468,0.43174,1.016379,1.216783,1.228892,1.192954,0.605229,0.589363,0.641533,0.68771,0.429819,0.457359,0.412267,0.361622,0.245355,0.063261,0.065548,0.076991,0.069917,0.071591,0.080497,0.049843
0.394969,0.452442,0.469048,0.429516,1.010376,1.210948,1.223249,1.186931,0.604418,0.589195,0.641365,0.68716,0.429683,0.45731,0.412275,0.361458,0.250947,0.066678,0.068281,0.081254,0.070384,0.069909,0.07862,0.0487
0.399618,0.450812,0.466992,0.427673,1.004058,1.2048,1.217291,1.180586,0.603542,0.589003,0.641175,0.686572,0.429581,0.457277,0.412299,0.3613,0.256627,0.070233,0.071195,0.085715,0.070845,0.06822,0.076753,0.047597
0.404567,0.449621,0.465407,0.426315,0.997462,1.198373,1.211048,1.173956,0.602603,0.588783,0.64096,0.685949,0.42952,0.457262,0.412343,0.361151,0.262314,0.073889,0.074265,0.090319,0.071293,0.066552,0.074925,0.046556
0.40978,0.448969,0.464394,0.425536,0.990625,1.191703,1.204551,1.167075,0.601604,0.588532,0.640715,0.685295,0.429506,0.457269,0.412408,0.361015,0.26793,0.077601,0.077456,0.095004,0.071721,0.06493,0.073163,0.045596
0.415221,0.448943,0.464046,0.42542,0.98358,1.184826,1.197829,1.159979,0.60055,0.588246,0.640436,0.684613,0.429544,0.4573,0.412495,0.360894,0.2734,0.081324,0.080733,0.099701,0.072124,0.063376,0.071492,0.044733
0.420848,0.449626,0.464443,0.426037,0.976362,1.177772,1.190911,1.1527,0.599447,0.58792,0.640119,0.683908,0.429636,0.457353,0.412604,0.360791,0.278657,0.085013,0.084053,0.104341,0.072497,0.061913,0.069931,0.043977
0.42662,0.451082,0.46565,0.427442,0.968998,1.17057,1.183825,1.14527,0.598304,0.587552,0.639759,0.683182,0.429782,0.457428,0.412734,0.360709,0.283638,0.088624,0.087375,0.108853,0.072838,0.060557,0.068496,0.043332
0.432498,0.453366,0.467722,0.429677,0.961517,1.163247,1.176592,1.137714,0.597128,0.587136,0.639352,0.682438,0.429982,0.457522,0.412881,0.360648,0.288293,0.092113,0.090656,0.113174,0.073146,0.05932,0.067196,0.042799
0.438451,0.456514,0.470696,0.432768,0.953938,1.155821,1.169236,1.130055,0.595928,0.586672,0.638894,0.681677,0.43023,0.457632,0.413043,0.360609,0.292577,0.095439,0.093854,0.117239,0.073422,0.05821,0.066038,0.042373
0.444453,0.460544,0.474588,0.436724,0.946283,1.148313,1.161775,1.122315,0.594715,0.586157,0.638383,0.6809,0.43052,0.457754,0.413214,0.360592,0.296456,0.098564,0.096926,0.120996,0.073665,0.05723,0.065021,0.042046
0.45049,0.465455,0.479399,0.441538,0.938566,1.140737,1.154225,1.114511,0.593498,0.58559,0.637815,0.680107,0.430845,0.457886,0.413393,0.360597,0.299902,0.101452,0.09983,0.124394,0.07388,0.056377,0.064143,0.041808
0.456554,0.471231,0.485108,0.447186,0.930801,1.133103,1.1466,1.106656,0.592284,0.584972,0.63719,0.679296,0.431196,0.458026,0.413578,0.360622,0.302892,0.104071,0.102529,0.127396,0.074067,0.055645,0.063394,0.041648
0.462649,0.477839,0.49168,0.453633,0.922997,1.125422,1.138913,1.098763,0.591079,0.584305,0.636509,0.678466,0.431564,0.458173,0.413765,0.360666,0.305411,0.106394,0.104987,0.129971,0.074232,0.055026,0.062765,0.041555
0.468784,0.485238,0.499067,0.460831,0.915163,1.117702,1.131173,1.090841,0.58989,0.583591,0.635777,0.677618,0.43194,0.458322,0.413953,0.360726,0.307447,0.108401,0.107176,0.1321,0.074377,0.05451,0.062246,0.041517
0.474974,0.493376,0.507212,0.468725,0.907305,1.109946,1.123388,1.082898,0.58872,0.582834,0.634996,0.676749,0.432316,0.458474,0.41414,0.3608,0.308995,0.110075,0.109074,0.133771,0.074507,0.054084,0.061822,0.041523
0.481237,0.502199,0.516055,0.477256,0.89943,1.102162,1.115566,1.074942,0.58757,0.582039,0.634174,0.675862,0.432685,0.458625,0.414322,0.360884,0.310052,0.111406,0.110665,0.134982,0.074625,0.053737,0.061481,0.041563
0.487591,0.511652,0.525533,0.486367,0.891541,1.094352,1.107714,1.066976,0.586442,0.58121,0.633317,0.674957,0.433039,0.458772,0.414499,0.360975,0.31062,0.11239,0.111937,0.135735,0.074735,0.053457,0.061211,0.041627
0.494056,0.521676,0.535585,0.496001,0.883643,1.08652,1.099838,1.059005,0.585337,0.580354,0.632433,0.674037,0.433372,0.458914,0.414666,0.361068,0.310703,0.113027,0.112887,0.136041,0.07484,0.053233,0.060999,0.041708
0.500649,0.53222,0.546155,0.506108,0.875738,1.078671,1.091942,1.051033,0.584254,0.579476,0.631529,0.673105,0.433678,0.459048,0.414822,0.361161,0.310308,0.113322,0.113517,0.135916,0.074944,0.053054,0.060834,0.041798
0.507386,0.543233,0.557192,0.516643,0.86783,1.070805,1.084034,1.043062,0.583195,0.578582,0.630613,0.672165,0.433953,0.459171,0.414963,0.36125,0.309445,0.113283,0.113832,0.135378,0.075049,0.05291,0.060706,0.04189
0.514281,0.554668,0.568651,0.52757,0.85992,1.062929,1.076116,1.035094,0.58216,0.577676,0.62969,0.671224,0.434193,0.459282,0.415089,0.361331,0.308125,0.112923,0.113844,0.13445,0.075158,0.052795,0.060606,0.041978
0.521346,0.566486,0.580494,0.538858,0.852011,1.055043,1.068194,1.027132,0.581151,0.576765,0.628768,0.670287,0.434397,0.459378,0.415197,0.361401,0.306362,0.112258,0.113567,0.133158,0.075273,0.0527,0.060526,0.04206
0.528589,0.578653,0.592689,0.550485,0.844103,1.047153,1.060271,1.019176,0.580172,0.575856,0.627854,0.669362,0.434563,0.459458,0.415286,0.36146,0.304169,0.111306,0.11302,0.131528,0.075397,0.05262,0.060459,0.042131
