L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.572893,0.77462,0.77382,0.75739,0.214852,0.319317,0.320542,0.284557,0.566606,0.535926,0.578253,0.627156,0.466187,0.460624,0.420983,0.382703,0.069113,0.048658,0.058315,0.039393,0.234488,0.068295,0.073424,0.0746
0.570509,0.772265,0.771437,0.755038,0.217526,0.321121,0.322048,0.285711,0.566704,0.535971,0.578258,0.627233,0.467643,0.460549,0.420912,0.38305,0.06912,0.04865,0.058273,0.039347,0.236175,0.069583,0.07484,0.076326
0.567967,0.769753,0.768897,0.752529,0.220387,0.323233,0.323854,0.287169,0.5668,0.536015,0.578263,0.627309,0.469183,0.46047,0.420846,0.383399,0.069132,0.048643,0.05823,0.039301,0.237841,0.070929,0.076332,0.078121
0.565281,0.767095,0.766213,0.749876,0.223424,0.32569,0.326003,0.288983,0.566891,0.536058,0.578268,0.627382,0.470793,0.460389,0.420787,0.383743,0.069148,0.048637,0.058187,0.039256,0.239441,0.072317,0.077883,0.079958
0.56247,0.76431,0.763404,0.747097,0.226626,0.328522,0.328526,0.291192,0.566974,0.536099,0.578273,0.627451,0.472455,0.460307,0.420738,0.384077,0.069169,0.048633,0.058145,0.039214,0.240927,0.073727,0.079475,0.081808
0.559551,0.761416,0.760487,0.74421,0.229979,0.33175,0.331447,0.293827,0.567047,0.536136,0.578278,0.627515,0.47415,0.460227,0.4207,0.384394,0.069196,0.048631,0.058105,0.039175,0.242257,0.075136,0.081082,0.08364
0.556543,0.758431,0.757482,0.741232,0.233472,0.335383,0.334779,0.296905,0.567111,0.53617,0.578283,0.627574,0.475861,0.460151,0.420676,0.384692,0.069229,0.048629,0.058067,0.03914,0.243393,0.076522,0.082679,0.085422
0.553463,0.755372,0.754405,0.738181,0.237094,0.339425,0.338525,0.300434,0.567163,0.5362,0.578286,0.627628,0.477568,0.46008,0.420667,0.384968,0.069267,0.048629,0.058031,0.039108,0.244302,0.077862,0.084241,0.087124
0.550326,0.752256,0.751273,0.735072,0.240838,0.343872,0.34268,0.304409,0.567204,0.536224,0.578289,0.627676,0.479253,0.460018,0.420674,0.385221,0.069309,0.04863,0.057997,0.03908,0.244955,0.079134,0.085741,0.088716
0.547147,0.749096,0.7481,0.731918,0.244698,0.34871,0.347234,0.308818,0.567234,0.536243,0.578291,0.627717,0.480901,0.459962,0.420694,0.385451,0.069355,0.048631,0.057965,0.039055,0.245329,0.080318,0.087156,0.09017
0.543938,0.745905,0.744898,0.728732,0.248668,0.353926,0.352172,0.313643,0.567251,0.536256,0.57829,0.62775,0.482496,0.459915,0.420728,0.385657,0.069405,0.048632,0.057935,0.039034,0.245409,0.081397,0.088467,0.091464
0.540708,0.742692,0.741677,0.725522,0.252745,0.3595,0.357478,0.318863,0.567256,0.536263,0.578287,0.627775,0.484026,0.459876,0.420774,0.385843,0.069457,0.048633,0.057907,0.039014,0.245181,0.082354,0.089655,0.092576
0.537465,0.739466,0.738444,0.722297,0.256927,0.365413,0.363135,0.324457,0.56725,0.536264,0.578282,0.627793,0.485478,0.459844,0.420828,0.386007,0.069512,0.048635,0.057882,0.038998,0.244638,0.083178,0.090706,0.093492
0.534215,0.736234,0.735207,0.719063,0.261212,0.371646,0.369123,0.330404,0.567233,0.536259,0.578275,0.627802,0.486842,0.459819,0.420888,0.386151,0.069567,0.048637,0.057858,0.038983,0.243775,0.083859,0.091609,0.094199
0.530961,0.733001,0.731969,0.715825,0.265602,0.37818,0.375427,0.336682,0.567207,0.536248,0.578266,0.627804,0.48811,0.459799,0.420953,0.386275,0.069623,0.048638,0.057837,0.038971,0.242592,0.084392,0.092358,0.09469
0.527706,0.729769,0.728733,0.712586,0.270098,0.384997,0.382029,0.343274,0.567174,0.536233,0.578254,0.6278,0.489273,0.459785,0.421021,0.386379,0.069678,0.048639,0.057818,0.03896,0.241089,0.084773,0.092946,0.094962
0.524453,0.726542,0.725503,0.70935,0.274701,0.392082,0.388913,0.350163,0.567136,0.536215,0.57824,0.627791,0.490324,0.459776,0.42109,0.386462,0.069733,0.04864,0.0578,0.03895,0.239272,0.085002,0.093374,0.095015
0.521201,0.72332,0.722278,0.706118,0.279414,0.39942,0.396065,0.357337,0.567095,0.536195,0.578225,0.627778,0.491258,0.45977,0.421157,0.386523,0.069787,0.048641,0.057785,0.038942,0.237145,0.085081,0.09364,0.094853
0.517953,0.720104,0.71906,0.702891,0.284242,0.406999,0.403472,0.364784,0.567054,0.536174,0.578209,0.627764,0.492071,0.459766,0.42122,0.38656,0.069842,0.048643,0.05777,0.038934,0.234715,0.085014,0.09375,0.094483
0.514709,0.716895,0.715849,0.69967,0.289191,0.414807,0.411122,0.372493,0.567012,0.536153,0.578193,0.627749,0.492759,0.459764,0.421276,0.386571,0.069896,0.048646,0.057758,0.038925,0.231991,0.084807,0.093708,0.093912
0.511469,0.713693,0.712644,0.696456,0.294265,0.422835,0.419004,0.380454,0.566971,0.536135,0.578179,0.627735,0.493322,0.459759,0.421323,0.386553,0.069949,0.04865,0.057746,0.038917,0.228984,0.084466,0.09352,0.093151
0.508234,0.710496,0.709446,0.693247,0.299473,0.431076,0.427108,0.388657,0.566931,0.536119,0.578167,0.627725,0.493759,0.459747,0.421354,0.386503,0.070002,0.048656,0.057736,0.038907,0.225704,0.084002,0.093195,0.09221
0.505003,0.707305,0.706253,0.690043,0.304822,0.439521,0.435424,0.397092,0.566894,0.536108,0.57816,0.627719,0.494071,0.459723,0.421367,0.38642,0.070052,0.048663,0.057727,0.038896,0.222164,0.083423,0.09274,0.091101
0.501776,0.704118,0.703065,0.686846,0.31032,0.448162,0.443939,0.405748,0.56686,0.536103,0.578157,0.627718,0.49426,0.459681,0.421356,0.3863,0.070101,0.048672,0.057719,0.038884,0.218377,0.082738,0.092162,0.089835
0.498552,0.700934,0.699881,0.683652,0.315978,0.456991,0.452644,0.414612,0.56683,0.536103,0.578159,0.627722,0.49433,0.459615,0.421315,0.386141,0.070149,0.048683,0.057713,0.038871,0.214361,0.081955,0.091469,0.088423
0.495329,0.697753,0.696701,0.680463,0.321803,0.465996,0.461527,0.42367,0.566805,0.53611,0.578168,0.627732,0.494284,0.459518,0.421239,0.38594,0.070195,0.048695,0.057708,0.038856,0.210131,0.081083,0.090666,0.086874
0.492108,0.694575,0.693523,0.677278,0.327805,0.475166,0.470575,0.432909,0.566784,0.536123,0.578183,0.627748,0.494129,0.459384,0.42112,0.385695,0.07024,0.048709,0.057704,0.038839,0.205708,0.080128,0.089762,0.085201
0.488887,0.691399,0.690347,0.674095,0.333992,0.484488,0.479773,0.442313,0.566769,0.536142,0.578205,0.62777,0.493869,0.459207,0.420952,0.385403,0.070282,0.048724,0.057702,0.038821,0.201112,0.079097,0.088761,0.083413
0.485668,0.688224,0.687173,0.670915,0.34037,0.493945,0.489107,0.451866,0.566759,0.536166,0.578233,0.627796,0.493509,0.458982,0.420731,0.385061,0.070323,0.04874,0.057701,0.038802,0.196364,0.077994,0.087668,0.081521
0.482451,0.685049,0.683999,0.667736,0.346946,0.503522,0.498558,0.461552,0.566753,0.536195,0.578267,0.627827,0.493056,0.458704,0.42045,0.384666,0.070362,0.048758,0.057701,0.03878,0.191489,0.076825,0.086491,0.079536
0.479238,0.681875,0.680826,0.664557,0.353721,0.513203,0.508112,0.471353,0.566751,0.536229,0.578307,0.627862,0.492513,0.458368,0.420105,0.384215,0.070398,0.048776,0.057702,0.038757,0.18651,0.075596,0.085234,0.07747
0.476031,0.678701,0.677652,0.661379,0.360696,0.522971,0.517752,0.481252,0.566752,0.536266,0.578351,0.627899,0.491885,0.457972,0.419694,0.383706,0.07043,0.048795,0.057704,0.038734,0.181452,0.074314,0.083905,0.075336
0.472834,0.675528,0.674479,0.658201,0.367867,0.532811,0.527462,0.491234,0.566752,0.536305,0.5784,0.627937,0.491176,0.457511,0.419215,0.383137,0.070458,0.048815,0.057707,0.038709,0.17634,0.072988,0.082514,0.073147
0.469649,0.672356,0.671304,0.655022,0.37523,0.542708,0.537228,0.501285,0.56675,0.536347,0.578452,0.627976,0.490389,0.456986,0.418667,0.382507,0.070481,0.048836,0.057711,0.038683,0.171199,0.071628,0.08107,0.070918
0.46648,0.669183,0.668129,0.651842,0.382775,0.55265,0.547039,0.511394,0.566745,0.536389,0.578507,0.628014,0.489523,0.456396,0.418052,0.381814,0.070497,0.048858,0.057715,0.038658,0.166056,0.070247,0.079588,0.068667
0.463327,0.666011,0.664952,0.648661,0.390494,0.562624,0.556885,0.521553,0.566735,0.536432,0.578564,0.62805,0.488576,0.455743,0.41737,0.381058,0.070505,0.04888,0.057719,0.038631,0.160935,0.068859,0.078084,0.066413
0.460189,0.662839,0.661773,0.645478,0.398374,0.572622,0.566757,0.531756,0.56672,0.536474,0.578622,0.628084,0.487544,0.455027,0.416626,0.380238,0.070504,0.048902,0.057723,0.038605,0.155861,0.06748,0.076576,0.064179
0.457064,0.659667,0.658592,0.642294,0.406402,0.582634,0.57665,0.541999,0.566698,0.536515,0.578678,0.628115,0.486417,0.454254,0.415823,0.379354,0.070495,0.048924,0.057726,0.038579,0.15086,0.066127,0.075083,0.061987
0.45395,0.656495,0.655409,0.639108,0.414566,0.592653,0.58656,0.552279,0.566672,0.536554,0.578732,0.628144,0.485188,0.453427,0.414966,0.378407,0.070477,0.048944,0.057727,0.038553,0.145954,0.064817,0.073628,0.05986
0.450844,0.653322,0.652224,0.63592,0.422851,0.602672,0.596484,0.562595,0.566641,0.53659,0.578782,0.628169,0.483845,0.452552,0.414061,0.377401,0.070451,0.048963,0.057727,0.038527,0.141163,0.063568,0.072233,0.057821
0.447742,0.650148,0.649037,0.63273,0.431248,0.612684,0.60642,0.572944,0.566606,0.536622,0.578828,0.628191,0.482381,0.451634,0.413113,0.376339,0.070417,0.04898,0.057725,0.038503,0.136504,0.062398,0.070919,0.055892
0.444639,0.646973,0.64585,0.629538,0.439744,0.622683,0.616365,0.583322,0.566566,0.53665,0.578869,0.62821,0.480793,0.45068,0.412128,0.375225,0.070376,0.048995,0.057722,0.038479,0.131989,0.061325,0.069708,0.054092
0.441533,0.643796,0.642662,0.626345,0.448329,0.632662,0.626312,0.593724,0.566519,0.536674,0.578905,0.628227,0.47908,0.449697,0.411112,0.374066,0.070328,0.049008,0.057717,0.038456,0.127628,0.060366,0.068619,0.052441
0.438419,0.640619,0.639474,0.623151,0.456989,0.642613,0.636257,0.604144,0.566466,0.536694,0.578935,0.628241,0.477247,0.448691,0.410074,0.372869,0.070275,0.049017,0.057711,0.038433,0.123427,0.059537,0.067671,0.050953
0.435295,0.637441,0.636287,0.619956,0.465708,0.652529,0.646192,0.614573,0.566407,0.536712,0.578959,0.628253,0.475304,0.447669,0.409019,0.371642,0.070218,0.049024,0.057704,0.038413,0.119391,0.058851,0.066881,0.049644
0.432161,0.634261,0.633099,0.616761,0.474469,0.662402,0.656109,0.625001,0.566342,0.536726,0.578978,0.628264,0.473262,0.44664,0.407956,0.370392,0.070159,0.049027,0.057696,0.038394,0.115522,0.05832,0.06626,0.048524
0.429014,0.631081,0.629912,0.613567,0.483257,0.672222,0.665997,0.635416,0.566273,0.536739,0.578993,0.628273,0.471138,0.445611,0.406892,0.369131,0.070099,0.049028,0.057687,0.038377,0.111825,0.057955,0.06582,0.047602
0.425856,0.627901,0.626724,0.610374,0.492053,0.681979,0.675845,0.645804,0.566201,0.53675,0.579003,0.628281,0.468949,0.444589,0.405835,0.367866,0.07004,0.049026,0.057677,0.038362,0.1083,0.057761,0.065569,0.046885
0.422688,0.624722,0.623537,0.607184,0.500839,0.691661,0.685639,0.656151,0.566127,0.536761,0.579011,0.62829,0.466714,0.443583,0.404795,0.366608,0.069983,0.049024,0.057668,0.038349,0.104953,0.057743,0.065509,0.046376
0.41951,0.621544,0.620349,0.603997,0.5096,0.701259,0.695365,0.666441,0.566052,0.536771,0.579016,0.628299,0.464453,0.442601,0.403779,0.365367,0.069928,0.04902,0.057658,0.03834,0.101785,0.057903,0.065643,0.046077
0.416323,0.618368,0.617163,0.600812,0.518318,0.71076,0.705006,0.676659,0.565977,0.536781,0.579019,0.628309,0.462187,0.441651,0.402798,0.364153,0.069878,0.049016,0.057647,0.038332,0.098798,0.058241,0.065968,0.04599
0.413131,0.615194,0.613979,0.59763,0.526983,0.720152,0.714549,0.68679,0.565904,0.536793,0.579021,0.62832,0.459933,0.440742,0.401862,0.362975,0.069832,0.049012,0.057636,0.038326,0.095993,0.058754,0.066483,0.046114
0.409935,0.612022,0.610797,0.594452,0.535584,0.729425,0.72398,0.696819,0.565834,0.536804,0.579023,0.628333,0.457708,0.439881,0.40098,0.361843,0.069792,0.049009,0.057625,0.038322,0.093369,0.059439,0.067184,0.046449
0.406737,0.608853,0.607618,0.591277,0.544112,0.738569,0.733285,0.706735,0.565772,0.536816,0.579025,0.628347,0.455527,0.439078,0.400161,0.360766,0.069759,0.049008,0.057613,0.038319,0.090923,0.060292,0.068067,0.04699
