FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
3.50645,-116.467903,48.55492,37.585175,222.620255,295.074646
3.402697,-115.625465,47.923088,37.559502,219.789185,299.260437
3.298288,-114.705826,47.229832,37.540611,216.6716,303.847351
3.193494,-113.715393,46.48061,37.528072,213.292709,308.798187
3.088573,-112.660301,45.680637,37.521465,209.676529,314.077393
2.983769,-111.546387,44.834896,37.520412,205.8461,319.651031
2.87931,-110.379211,43.948135,37.52454,201.823257,325.486572
2.775414,-109.164116,43.024849,37.533497,197.628952,331.553192
2.672286,-107.906235,42.069328,37.546959,193.283112,337.821259
2.570107,-106.610466,41.085667,37.56459,188.804901,344.26239
2.469034,-105.281464,40.077763,37.586063,184.212463,350.849701
2.369202,-103.92366,39.049301,37.611027,179.522995,357.557648
2.270728,-102.541176,38.003777,37.639145,174.75267,364.362274
2.173738,-101.137993,36.944485,37.670063,169.916794,371.240936
2.078369,-99.71785,35.874557,37.703468,165.029846,378.171997
1.984761,-98.284332,34.796955,37.739067,160.105637,385.135132
1.893043,-96.840843,33.71447,37.776585,155.157196,392.111023
1.803311,-95.390572,32.629719,37.815765,150.196716,399.081635
1.715629,-93.936485,31.545137,37.856361,145.235519,406.030182
1.630035,-92.481346,30.462999,37.898155,140.284195,412.941162
1.546567,-91.027748,29.385448,37.940929,135.352615,419.799896
1.465273,-89.578156,28.314478,37.984486,130.450073,426.592743
1.386209,-88.134857,27.251961,38.028625,125.585243,433.306854
1.309427,-86.699959,26.199638,38.073124,120.766182,439.93045
1.234963,-85.275444,25.159117,38.117756,116.000221,446.45282
1.162837,-83.863068,24.131882,38.162292,111.294098,452.864136
1.09306,-82.4645,23.11928,38.206501,106.653984,459.155365
1.025634,-81.081284,22.122553,38.250195,102.085579,465.318268
0.960561,-79.71479,21.142818,38.293201,97.594124,471.345276
0.897835,-78.366318,20.181086,38.335358,93.184326,477.229645
0.837447,-77.036987,19.238255,38.376537,88.860374,482.965393
0.779384,-75.727806,18.315119,38.416618,84.625961,488.547302
0.723641,-74.43969,17.412374,38.455498,80.484329,493.970856
0.670214,-73.173492,16.530638,38.493065,76.4384,499.231934
0.619093,-71.929932,15.670458,38.529228,72.490746,504.326965
0.570253,-70.709641,14.832306,38.563862,68.643562,509.253052
0.523651,-69.513107,14.016582,38.596832,64.898605,514.007935
0.479228,-68.340736,13.223595,38.627995,61.25729,518.589783
0.436932,-67.192863,12.453577,38.657215,57.720665,522.997375
0.396724,-66.069778,11.706686,38.684383,54.289589,527.229797
0.358584,-64.971725,10.983016,38.709419,50.964672,531.28656
0.32249,-63.898842,10.282609,38.732269,47.746284,535.167358
0.288407,-62.851215,9.60544,38.752884,44.634483,538.87262
0.256277,-61.828796,8.951433,38.771236,41.62904,542.403015
0.22603,-60.831493,8.320467,38.787285,38.729504,545.759766
0.197605,-59.859211,7.712387,38.801014,35.935257,548.944214
0.170955,-58.911816,7.127009,38.812382,33.245552,551.957947
0.146048,-57.989136,6.564129,38.821362,30.659517,554.802673
0.122847,-57.090969,6.023506,38.827908,28.176052,557.480591
0.101305,-56.217033,5.504863,38.831959,25.793877,559.994141
0.08136,-55.367008,5.007887,38.83345,23.511536,562.345947
0.062957,-54.540543,4.532232,38.832336,21.327465,564.53894
0.046051,-53.737278,4.077533,38.828609,19.240046,566.575928
0.030608,-52.956833,3.643403,38.822285,17.247591,568.460144
0.016592,-52.198792,3.229439,38.813393,15.348324,570.194702
0.003954,-51.462696,2.835219,38.801956,13.540344,571.78302
-0.007361,-50.748093,2.460309,38.788006,11.82163,573.22876
-0.017398,-50.054501,2.104259,38.771564,10.190095,574.535706
-0.026191,-49.381439,1.766618,38.75267,8.643633,575.707397
-0.033765,-48.728409,1.446927,38.731358,7.18012,576.747681
-0.040163,-48.094879,1.144723,38.707676,5.797399,577.660217
-0.045448,-47.480278,0.859532,38.681618,4.493248,578.449036
-0.049697,-46.884026,0.590868,38.653217,3.265394,579.118225
-0.052974,-46.305561,0.338233,38.622482,2.111541,579.671631
-0.055323,-45.744343,0.101125,38.589474,1.029421,580.113464
-0.056775,-45.199844,-0.120952,38.554272,0.016795,580.44751
0,-44.671535,0,38.516933,0,580.677795
0,-44.158855,0,38.47752,0,580.80835
0,-43.661224,0,38.436066,0,580.843262
0,-43.178062,0,38.39262,0,580.786621
0,-42.708809,0,38.34726,0,580.642456
0,-42.252937,0,38.300064,0,580.414734
0,-41.80991,0,38.251114,0,580.107117
0,-41.379192,0,38.20047,0,579.723511
0,-40.960232,0,38.14817,0,579.267639
0,-40.552467,0,38.094269,0,578.743591
0,-40.15538,0,38.038822,0,578.155029
0,-39.768463,0,37.981911,0,577.505554
0,-39.391235,0,37.923607,0,576.798767
0,-39.023205,0,37.863968,0,576.037964
0,-38.663868,0,37.803047,0,575.226563
0,-38.312729,0,37.740898,0,574.368164
0,-37.969292,0,37.677597,0,573.466125
0,-37.633129,0,37.613228,0,572.52356
0,-37.303814,0,37.54789,0,571.543762
0,-36.980949,0,37.48164,0,570.529419
0,-36.664101,0,37.414536,0,569.483643
0,-36.352867,0,37.346596,0,568.409485
0,-36.046856,0,37.277874,0,567.309814
0,-35.745708,0,37.208424,0,566.187256
0,-35.449081,0,37.138306,0,565.044373
0,-35.156631,0,37.06757,0,563.883606
0,-34.868027,0,36.996246,0,562.707397
0,-34.582932,0,36.924377,0,561.518372
0,-34.301048,0,36.852028,0,560.318787
0,-34.022118,0,36.779266,0,559.110901
0,-33.745903,0,36.706177,0,557.896606
0,-33.472164,0,36.632809,0,556.677734
0,-33.200638,0,36.559196,0,555.456421
0,-32.931049,0,36.485348,0,554.234253
0,-32.663158,0,36.411274,0,553.013489
0,-32.396759,0,36.337025,0,551.795593
0,-32.131683,0,36.262627,0,550.581909
0,-31.867788,0,36.18811,0,549.374023
0,-31.604906,0,36.113506,0,548.173157
0,-31.342852,0,36.038837,0,546.980713
0,-31.081448,0,35.96413,0,545.798096
0,-30.820534,0,35.889446,0,544.626526
0,-30.559998,0,35.814831,0,543.467041
0,-30.299744,0,35.740341,0,542.320496
0,-30.039675,0,35.666,0,541.187805
0,-29.779676,0,35.591812,0,540.069946
0,-29.519646,0,35.51778,0,538.967834
0,-29.259485,0,35.443913,0,537.882263
0,-28.999119,0,35.370243,0,536.813843
0,-28.738482,0,35.296791,0,535.763062
0,-28.477507,0,35.22356,0,534.730591
0,-28.216125,0,35.150543,0,533.716919
0,-27.954279,0,35.077751,0,532.722595
0,-27.691938,0,35.005207,0,531.748352
0,-27.4291,0,34.932941,0,530.794373
0,-27.16576,0,34.860985,0,529.860779
0,-26.901903,0,34.789299,0,528.947998
0,-26.637476,0,34.717865,0,528.056274
0,-26.372433,0,34.646637,0,527.186035
0,-26.106756,0,34.575584,0,526.337463
0,-25.840466,0,34.504696,0,525.510925
0,-25.573606,0,34.433941,0,524.706177
0,-25.306215,0,34.363297,0,523.923279
0,-25.038284,0,34.292713,0,523.162354
0,-24.769779,0,34.222157,0,522.423523
0,-24.500675,0,34.151608,0,521.707031
0,-24.23097,0,34.081039,0,521.012939
0,-23.960699,0,34.010433,0,520.340759
0,-23.689905,0,33.939774,0,519.690674
0,-23.41861,0,33.869015,0,519.062378
0,-23.14683,0,33.7981,0,518.455994
0,-22.874577,0,33.726974,0,517.87146
0,-22.601877,0,33.655613,0,517.308655
0,-22.328775,0,33.583992,0,516.767334
0,-22.0553,0,33.512085,0,516.247314
0,-21.781467,0,33.439854,0,515.748291
0,-21.507277,0,33.367249,0,515.270203
0.251879,-21.232738,-0.1222,33.294239,0.068622,514.812927
0.249631,-20.957895,-0.09598,33.220806,0.171964,514.376221
0.247296,-20.682808,-0.070728,33.146935,0.270944,513.959961
0.244881,-20.407524,-0.046399,33.072594,0.365715,513.56366
0.242384,-20.132067,-0.022952,32.997738,0.456401,513.187134
0.239802,-19.856428,-0.000366,32.922321,0.543047,512.8302
0.237145,-19.580587,0.021365,32.846287,0.625653,512.492737
0.234427,-19.304556,0.042242,32.769604,0.704258,512.1745
0.231667,-19.028366,0.062272,32.692261,0.778984,511.875153
0.228877,-18.752064,0.08147,32.614227,0.850011,511.59433
0.226057,-18.475676,0.099856,32.535477,0.917488,511.331604
0.223207,-18.199196,0.117446,32.455956,0.98148,511.086853
0.220325,-17.922615,0.134259,32.375626,1.041986,510.859863
0.217419,-17.645945,0.150323,32.294464,1.099028,510.650604
0.214496,-17.369217,0.165679,32.212463,1.15271,510.458588
0.211568,-17.092484,0.180372,32.129612,1.203209,510.283417
0.208638,-16.815767,0.194436,32.045906,1.25069,510.124664
0.20571,-16.539066,0.207884,31.961321,1.29524,509.982178
0.202782,-16.26236,0.220711,31.875843,1.336872,509.855621
0.199859,-15.985652,0.232905,31.789461,1.37559,509.744965
0.196956,-15.708973,0.244455,31.702196,1.411465,509.649811
0.194095,-15.432364,0.255359,31.614052,1.444641,509.569824
0.191305,-15.155857,0.26562,31.525036,1.475276,509.504639
0.188602,-14.879445,0.275246,31.435131,1.503474,509.453766
0.185983,-14.603105,0.284247,31.344339,1.529275,509.417297
0.18343,-14.326818,0.292635,31.252647,1.552706,509.394836
0.180924,-14.050594,0.30043,31.16008,1.573846,509.386139
0.178454,-13.774455,0.307656,31.066656,1.592834,509.390839
0.176028,-13.498423,0.314334,30.972416,1.60982,509.408661
0.173659,-13.22249,0.320474,30.877378,1.6249,509.439178
0.171363,-12.946636,0.326079,30.781576,1.638107,509.482269
0.169149,-12.670835,0.331142,30.685034,1.64946,509.53775
0.167022,-12.395091,0.33566,30.587793,1.659022,509.605286
0.164984,-12.119406,0.339643,30.489908,1.666924,509.68457
0.16303,-11.843778,0.343118,30.391424,1.673319,509.775085
0.161142,-11.568184,0.346121,30.292376,1.678319,509.876587
0.159298,-11.292587,0.348694,30.192787,1.681969,509.9888
0.157477,-11.016969,0.350875,30.09269,1.684282,510.111633
0.155681,-10.741325,0.352697,29.992138,1.685307,510.244751
0.153929,-10.465679,0.354191,29.891209,1.685152,510.387787
0.152248,-10.190034,0.355382,29.789995,1.68396,510.540314
0.150646,-9.914365,0.356293,29.688581,1.681842,510.701996
0.149102,-9.638624,0.356937,29.587048,1.678843,510.872528
0.147574,-9.362763,0.357324,29.485456,1.674961,511.051758
0.146027,-9.086757,0.357464,29.383898,1.67021,511.239319
0.144447,-8.810609,0.357379,29.282459,1.664666,511.434998
0.142849,-8.534339,0.357102,29.181229,1.65845,511.638245
0.141254,-8.257951,0.356683,29.080282,1.651674,511.848694
0.139675,-7.981434,0.356171,28.979681,1.644398,512.066162
0.138113,-7.70477,0.355602,28.879492,1.636624,512.290344
0.136564,-7.427948,0.354992,28.779799,1.628351,512.520874
0.135026,-7.150982,0.354337,28.680717,1.619621,512.757629
0.133495,-6.873895,0.353627,28.582378,1.610529,513.000183
0.131962,-6.596704,0.352856,28.484913,1.601177,513.248047
0.130409,-6.319421,0.35202,28.388435,1.591632,513.500977
0.128817,-6.042052,0.351114,28.293047,1.581905,513.758606
0.127181,-5.764611,0.350134,28.198843,1.571993,514.020935
0.125516,-5.487124,0.349086,28.105938,1.561914,514.287598
0.123847,-5.20962,0.347999,28.014446,1.551734,514.558105
0.12219,-4.932112,0.346916,27.924479,1.541534,514.832031
0.120534,-4.654592,0.345879,27.836123,1.531377,515.109131
0.118846,-4.377051,0.344906,27.749462,1.521286,515.389099
0.117093,-4.099498,0.343987,27.6646,1.511265,515.671814
0.115253,-3.821969,0.343094,27.581673,1.501346,515.95697
0.113323,-3.544514,0.342205,27.500818,1.491603,516.244202
0.111308,-3.267177,0.341312,27.422173,1.482126,516.53302
0.10921,-2.98998,0.340415,27.345833,1.472972,516.823242
0.107025,-2.712923,0.339517,27.271883,1.464143,517.114624
0.104751,-2.436004,0.338618,27.200405,1.455606,517.406921
0.102401,-2.159246,0.337731,27.131491,1.447353,517.699951
0.099998,-1.882692,0.336887,27.065243,1.439446,517.993408
0.097558,-1.606387,0.336133,27.001753,1.431991,518.286865
0.095079,-1.330358,0.335506,26.941092,1.425087,518.579895
0.092538,-1.054607,0.335017,26.883327,1.418768,518.872437
0.089904,-0.779124,0.334649,26.828531,1.413002,519.164368
0.087164,-0.50391,0.334373,26.776796,1.407745,519.455566
0.084336,-0.228986,0.334166,26.72823,1.403001,519.745728
0.081452,0.045626,0.334022,26.682924,1.398839,520.034607
0.078537,0.319919,0.333945,26.640963,1.395338,520.321838
0.075591,0.59391,0.333936,26.602392,1.392527,520.607239
0.072588,0.86762,0.333993,26.567261,1.390369,520.890747
0.069506,1.141064,0.334119,26.535627,1.388792,521.172302
0.066337,1.414236,0.334329,26.507553,1.387762,521.451843
0.06309,1.687129,0.334644,26.483109,1.387306,521.728943
0.059778,1.959743,0.335081,26.462334,1.387476,522.00354
0.056404,2.232093,0.335632,26.44525,1.388281,522.27533
0.052957,2.504202,0.336269,26.431875,1.38966,522.544495
0.049435,2.776078,0.33695,26.422249,1.391515,522.81073
0.045847,3.047713,0.337639,26.416424,1.393783,523.074158
0.042214,3.319093,0.338314,26.41444,1.396473,523.334534
0.038547,3.590209,0.338962,26.416321,1.399628,523.591675
0.034835,3.861087,0.339574,26.422056,1.403262,523.845398
0.031057,4.131763,0.34014,26.431625,1.407314,524.096069
0.027201,4.402256,0.340647,26.445024,1.411685,524.343384
0.023279,4.672578,0.341094,26.462261,1.416299,524.587524
0.019313,4.94272,0.341486,26.483337,1.42115,524.828247
0.015319,5.212681,0.341835,26.50824,1.426282,525.065369
0.011284,5.482485,0.342145,26.536922,1.431713,525.29895
0.007179,5.752177,0.342402,26.569338,1.437383,525.529114
0.002982,6.021799,0.342574,26.605436,1.44318,525.75592
-0.001306,6.291375,0.342624,26.645184,1.449009,525.979492
-0.005662,6.560905,0.342526,26.68854,1.454846,526.199768
-0.010063,6.830387,0.342274,26.735443,1.46073,526.416504
-0.014505,7.099854,0.341876,26.785818,1.466685,526.629883
-0.019001,7.369355,0.341336,26.839579,1.472652,526.839844
-0.023568,7.638942,0.340647,26.89665,1.478506,527.046753
-0.028208,7.908647,0.339799,26.956989,1.48412,527.250671
-0.03291,8.178481,0.338791,27.020548,1.489447,527.45166
-0.037659,8.448454,0.337639,27.087267,1.494508,527.649597
-0.042452,8.718588,0.336355,27.157074,1.499332,527.844604
-0.047299,8.988934,0.334935,27.229866,1.503874,528.036743
-0.052214,9.259558,0.333349,27.305544,1.508003,528.226196
-0.057205,9.530513,0.331562,27.384022,1.511579,528.413086
-0.062263,9.801828,0.329558,27.465231,1.514529,528.597595
-0.067379,10.073525,0.327351,27.549088,1.516866,528.779602
-0.072555,10.345627,0.324967,27.635502,1.518627,528.959167
-0.077808,10.618176,0.322423,27.72438,1.519793,529.136475
-0.083159,10.891219,0.31972,27.815638,1.520267,529.311707
-0.088624,11.164783,0.31685,27.909206,1.51992,529.485107
-0.0942,11.438877,0.313817,28.005033,1.518676,529.656799
-0.099879,11.713508,0.310636,28.103058,1.516528,529.826599
-0.105656,11.988697,0.307324,28.203192,1.513489,529.994629
-0.111537,12.264488,0.303879,28.305323,1.509517,530.161011
-0.117535,12.540935,0.300284,28.409334,1.504488,530.325989
-0.123652,12.818065,0.296523,28.515123,1.498258,530.489929
-0.129875,13.095877,0.292599,28.622602,1.49074,530.652832
-0.136182,13.374351,0.288537,28.731691,1.481937,530.814636
-0.142555,13.653484,0.284369,28.8423,1.47188,530.975525
-0.148994,13.933307,0.280113,28.954332,1.460545,531.135498
-0.155504,14.213872,0.275771,29.067694,1.447813,531.294922
