L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
1.132075,1.305489,1.298191,1.28791,0.372049,0.544672,0.547289,0.507739,0.587078,0.598244,0.637831,0.677868,0.443991,0.447204,0.414951,0.371705,0.064203,0.151421,0.159348,0.118196,0.135324,0.04773,0.050576,0.044744
1.128715,1.303047,1.296009,1.285424,0.36793,0.538249,0.540826,0.501443,0.586585,0.596697,0.636271,0.67651,0.443801,0.447062,0.414824,0.371505,0.062667,0.147512,0.155636,0.114741,0.138349,0.047437,0.050181,0.044936
1.124986,1.300336,1.293585,1.282624,0.363728,0.531399,0.533955,0.494745,0.586082,0.595087,0.634648,0.675095,0.443616,0.446917,0.41469,0.3713,0.061206,0.14326,0.151606,0.111003,0.141642,0.047154,0.049778,0.045173
1.120871,1.297339,1.290902,1.279486,0.359527,0.524169,0.526728,0.487699,0.58558,0.593437,0.632986,0.673643,0.443444,0.446769,0.414552,0.371095,0.059869,0.138676,0.147268,0.106996,0.145201,0.046893,0.049379,0.045469
1.116372,1.294051,1.287956,1.275998,0.355415,0.516618,0.519208,0.480364,0.585093,0.591775,0.631314,0.672179,0.44329,0.446622,0.41441,0.370895,0.0587,0.133788,0.142647,0.102746,0.149021,0.04667,0.048998,0.045839
1.111507,1.290477,1.28475,1.272161,0.351482,0.508812,0.51146,0.472808,0.584635,0.590129,0.629663,0.670732,0.443162,0.44648,0.414267,0.370706,0.057737,0.128639,0.137782,0.098293,0.153097,0.046498,0.048648,0.046304
1.106304,1.286625,1.281294,1.267986,0.347815,0.50082,0.503554,0.465102,0.584221,0.588533,0.628065,0.66933,0.443065,0.446346,0.414126,0.370536,0.057004,0.123282,0.132718,0.093682,0.157418,0.046394,0.048347,0.046886
1.100798,1.282507,1.277598,1.263486,0.344498,0.492716,0.495557,0.457317,0.583867,0.587016,0.626552,0.668005,0.443003,0.446223,0.413991,0.370392,0.056514,0.11778,0.127509,0.088966,0.161976,0.046376,0.048115,0.047611
1.095019,1.278131,1.27367,1.258677,0.341604,0.484574,0.487538,0.449524,0.583585,0.585609,0.625155,0.666782,0.442981,0.446114,0.413864,0.370279,0.056266,0.112197,0.12221,0.084198,0.16676,0.04646,0.047969,0.048505
1.088995,1.273501,1.269509,1.253571,0.339202,0.476465,0.479565,0.441792,0.583387,0.584334,0.623899,0.665685,0.442999,0.446021,0.413748,0.370201,0.056247,0.106602,0.116879,0.079433,0.171759,0.046665,0.04793,0.049598
1.082744,1.268613,1.26511,1.248175,0.337348,0.468463,0.471702,0.434189,0.583278,0.583213,0.622802,0.664733,0.44306,0.445944,0.413647,0.370159,0.056434,0.101062,0.111573,0.074727,0.176959,0.047007,0.048018,0.050918
1.07628,1.263461,1.260459,1.242492,0.336088,0.46064,0.464013,0.42678,0.583262,0.582259,0.62188,0.66394,0.443161,0.445884,0.413564,0.370156,0.0568,0.095644,0.106351,0.070137,0.182346,0.047505,0.048252,0.052492
1.069611,1.258035,1.25554,1.236524,0.335455,0.453066,0.456563,0.41963,0.583335,0.581478,0.621137,0.663316,0.443302,0.445839,0.413503,0.370195,0.057313,0.090412,0.101271,0.065719,0.187904,0.048175,0.048652,0.054343
1.062743,1.252325,1.250335,1.23027,0.335471,0.445813,0.449414,0.412803,0.58349,0.580871,0.620572,0.662862,0.44348,0.445809,0.413466,0.370276,0.057939,0.085424,0.096389,0.061527,0.19361,0.049035,0.049236,0.05649
1.055679,1.246323,1.24483,1.223732,0.336142,0.438951,0.442631,0.406363,0.583717,0.580427,0.620174,0.662574,0.443694,0.445792,0.413454,0.370402,0.058646,0.08073,0.091754,0.05761,0.199441,0.050098,0.050021,0.058941
1.048421,1.240023,1.239011,1.216915,0.337465,0.432549,0.436283,0.400373,0.584005,0.580131,0.619925,0.662442,0.443942,0.445788,0.413462,0.370574,0.059402,0.076372,0.087411,0.054011,0.205369,0.051375,0.05102,0.061701
1.040971,1.233424,1.232872,1.209828,0.339421,0.426678,0.430439,0.394897,0.584338,0.579961,0.619803,0.662449,0.444226,0.445794,0.413485,0.370792,0.060179,0.072379,0.083395,0.050762,0.211359,0.052873,0.052243,0.064762
1.033335,1.226528,1.22641,1.202482,0.341983,0.421406,0.425171,0.389997,0.584701,0.579892,0.619778,0.662572,0.444549,0.44581,0.413517,0.371057,0.060955,0.068772,0.079734,0.04789,0.217373,0.054591,0.053697,0.068108
1.025519,1.219344,1.21963,1.194894,0.345111,0.416802,0.42055,0.385737,0.585079,0.579896,0.619822,0.662789,0.444915,0.445835,0.413553,0.371366,0.061708,0.065562,0.076445,0.045405,0.223367,0.056526,0.055381,0.071714
1.01753,1.211884,1.212539,1.187081,0.348756,0.412935,0.416648,0.382179,0.585458,0.579951,0.61991,0.663075,0.445332,0.445866,0.413588,0.371719,0.062423,0.062748,0.073536,0.043305,0.229295,0.058665,0.057292,0.075545
1.00938,1.204166,1.205153,1.179063,0.352865,0.409873,0.413535,0.379389,0.585824,0.580037,0.620023,0.663407,0.445807,0.445903,0.41362,0.37211,0.063087,0.060319,0.071003,0.041575,0.235108,0.060992,0.059417,0.079557
1.001084,1.196212,1.197493,1.170862,0.357378,0.407681,0.411282,0.377428,0.586166,0.58014,0.620144,0.663768,0.446345,0.445944,0.413648,0.372533,0.063694,0.058253,0.068828,0.040188,0.240756,0.063484,0.06174,0.083698
0.992655,1.18805,1.189584,1.162499,0.362237,0.40642,0.409954,0.376359,0.586477,0.580251,0.620263,0.664141,0.446953,0.445987,0.413669,0.372977,0.064242,0.056522,0.06699,0.03911,0.246191,0.066115,0.064239,0.087911
0.984111,1.179705,1.181456,1.153997,0.367387,0.406146,0.409613,0.37624,0.58675,0.58036,0.620374,0.664513,0.447633,0.446032,0.413687,0.373433,0.064729,0.05509,0.065456,0.038301,0.251369,0.068852,0.066883,0.092137
0.97547,1.171208,1.173139,1.145378,0.37278,0.406908,0.410312,0.377122,0.586981,0.580463,0.620469,0.664873,0.448383,0.446078,0.413703,0.373886,0.065159,0.053919,0.064193,0.037721,0.256248,0.071661,0.069638,0.096313
0.966747,1.162585,1.164663,1.13666,0.378379,0.408743,0.412097,0.379049,0.587169,0.580555,0.620546,0.665211,0.449198,0.446129,0.413721,0.374327,0.065537,0.05297,0.063166,0.037331,0.260791,0.074501,0.072463,0.100379
0.95796,1.153862,1.156058,1.127863,0.384157,0.411674,0.414996,0.38205,0.587313,0.580633,0.620602,0.665523,0.45007,0.446185,0.413746,0.374744,0.065868,0.052205,0.06234,0.037093,0.264969,0.077329,0.075315,0.104278
0.949124,1.145062,1.147351,1.119002,0.390105,0.415707,0.419019,0.386135,0.587413,0.580696,0.620637,0.665802,0.450987,0.446251,0.413783,0.375133,0.066159,0.051592,0.061681,0.036974,0.268754,0.080099,0.078146,0.107955
0.940252,1.136207,1.138566,1.110092,0.396224,0.420828,0.424155,0.391294,0.587471,0.580744,0.62065,0.666047,0.451936,0.446328,0.413835,0.375488,0.066418,0.051098,0.06116,0.036944,0.272126,0.082766,0.080907,0.111361
0.931355,1.127312,1.129725,1.101147,0.402525,0.427003,0.430373,0.397495,0.587489,0.580776,0.620643,0.666257,0.452904,0.446419,0.413906,0.375809,0.066651,0.050698,0.060748,0.036979,0.275065,0.085284,0.08355,0.114456
0.922443,1.118393,1.120844,1.092177,0.409027,0.434185,0.437624,0.40469,0.587471,0.580792,0.620618,0.666432,0.453877,0.446524,0.413997,0.376096,0.066864,0.050369,0.060423,0.037059,0.277557,0.087612,0.086029,0.117206
0.913524,1.10946,1.111938,1.083191,0.415752,0.442317,0.445846,0.412816,0.58742,0.580795,0.620577,0.666575,0.454845,0.446643,0.414105,0.376353,0.067063,0.050092,0.060164,0.037165,0.27959,0.089714,0.088304,0.119585
0.904602,1.100521,1.103019,1.074196,0.42272,0.451336,0.454973,0.421801,0.587341,0.580785,0.620523,0.666688,0.455798,0.446774,0.41423,0.376582,0.067254,0.049852,0.059954,0.037287,0.281154,0.09156,0.09034,0.121574
0.895683,1.091583,1.094094,1.065199,0.429949,0.461177,0.464932,0.431569,0.587241,0.580766,0.620461,0.666777,0.45673,0.446914,0.414367,0.37679,0.067438,0.04964,0.059779,0.037413,0.282245,0.093126,0.092113,0.123164
0.886767,1.082648,1.085169,1.056203,0.437451,0.471778,0.475656,0.442049,0.587125,0.58074,0.620394,0.666845,0.457636,0.447061,0.414512,0.37698,0.067621,0.049446,0.059629,0.037536,0.28286,0.094396,0.093602,0.124351
0.877856,1.073719,1.076247,1.047211,0.445235,0.483082,0.487079,0.453173,0.586999,0.580711,0.620327,0.666898,0.458511,0.447211,0.414662,0.377157,0.067804,0.049265,0.059495,0.037651,0.282998,0.095362,0.094795,0.125135
0.86895,1.064797,1.06733,1.038223,0.453303,0.495033,0.499142,0.464881,0.586869,0.580683,0.620263,0.666939,0.459351,0.447363,0.414814,0.377323,0.067989,0.049092,0.059371,0.037753,0.282661,0.09602,0.095689,0.125523
