FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
-79.012589,238.320511,-39.146091,-19.348227,555.644165,721.011108
-79.911064,236.235962,-39.22131,-19.183586,555.454834,714.434021
-80.760269,233.910675,-39.285011,-18.976284,555.318237,707.351196
-81.561623,231.363281,-39.338455,-18.730089,555.237,699.798584
-82.316429,228.611618,-39.382816,-18.448565,555.213928,691.810547
-83.025909,225.672592,-39.419201,-18.135069,555.251526,683.419922
-83.691345,222.562317,-39.448616,-17.792791,555.351807,674.658325
-84.314102,219.296356,-39.471989,-17.424763,555.516479,665.556335
-84.895653,215.889587,-39.490162,-17.033882,555.746704,656.143677
-85.437477,212.356384,-39.503933,-16.622911,556.043274,646.449097
-85.940971,208.710449,-39.514015,-16.194473,556.407043,636.500366
-86.407402,204.964813,-39.521095,-15.751034,556.838684,626.324036
-86.837891,201.131668,-39.525803,-15.294891,557.338989,615.945129
-87.233467,197.222458,-39.528732,-14.828185,557.908569,605.387512
-87.595261,193.248047,-39.530437,-14.352913,558.547852,594.673828
-87.924446,189.218735,-39.531429,-13.870959,559.256714,583.825867
-88.222328,185.144394,-39.532173,-13.384099,560.034973,572.864746
-88.490204,181.034424,-39.533115,-12.893992,560.881836,561.810852
-88.729279,176.897766,-39.534637,-12.402176,561.796936,550.683899
-88.940598,172.742691,-39.537071,-11.910056,562.779785,539.501953
-89.125114,168.57692,-39.540707,-11.418909,563.829773,528.282593
-89.283661,164.407455,-39.545773,-10.929882,564.946533,517.041809
-89.417152,160.240921,-39.552464,-10.444033,566.129333,505.7948
-89.526604,156.083481,-39.560936,-9.962345,567.377258,494.556244
-89.613106,151.941147,-39.571312,-9.485742,568.689148,483.340088
-89.67778,147.819458,-39.583694,-9.015074,570.06366,472.159882
-89.721664,143.72374,-39.598167,-8.551113,571.499512,461.028381
-89.745628,139.658829,-39.614788,-8.094543,572.995422,449.957581
-89.750435,135.628998,-39.633598,-7.645938,574.550598,438.958344
-89.736771,131.638153,-39.654613,-7.205771,576.16394,428.040619
-89.705376,127.689835,-39.677803,-6.774438,577.834351,417.213715
-89.657074,123.787292,-39.703136,-6.352288,579.560486,406.48645
-89.592789,119.933708,-39.730556,-5.939632,581.34082,395.867218
-89.513428,116.132072,-39.759995,-5.536747,583.173767,385.364197
-89.419853,112.385147,-39.791367,-5.143864,585.0578,374.984833
-89.312775,108.695389,-39.824581,-4.761155,586.991455,364.735992
-89.192741,105.06488,-39.859554,-4.388724,588.973633,354.623688
-89.06028,101.495354,-39.896179,-4.026616,591.003174,344.653198
-88.915962,97.988327,-39.93438,-3.674828,593.078796,334.829193
-88.760414,94.545181,-39.974049,-3.333341,595.199097,325.156097
-88.594398,91.16729,-40.015102,-3.002123,597.362549,315.638123
-88.418701,87.855904,-40.057449,-2.681125,599.567627,306.279388
-88.233978,84.612167,-40.101009,-2.370274,601.812439,297.083496
-88.040817,81.436966,-40.145695,-2.069456,604.095764,288.053497
-87.839615,78.33091,-40.191422,-1.77852,606.416504,279.191864
-87.630714,75.294334,-40.238083,-1.497284,608.773499,270.500397
-87.414513,72.327454,-40.285591,-1.225558,611.165649,261.980621
-87.191521,69.43042,-40.333836,-0.963174,613.591614,253.633728
-86.962303,66.603386,-40.382736,-0.70999,616.049805,245.46109
-86.727486,63.846508,-40.432209,-0.46588,618.53894,237.463791
-86.487595,61.159851,-40.482182,-0.230707,621.05719,229.642807
-86.243019,58.543301,-40.532612,-0.004311,623.603455,221.998535
-85.994034,55.996513,-40.583443,0.213504,626.176758,214.53093
-85.740799,53.51897,-40.634632,0.422956,628.776123,207.239441
-85.483589,51.110023,-40.686131,0.624262,631.400452,200.123276
-85.222748,48.769062,-40.737904,0.817618,634.048584,193.18161
-84.958763,46.495514,-40.789902,1.003197,636.718994,186.413681
-84.692108,44.288876,-40.842102,1.18115,639.4104,179.81868
-84.423241,42.148579,-40.89447,1.351617,642.121216,173.395737
-84.152382,40.073936,-40.946976,1.514745,644.850403,167.143509
-83.879692,38.064056,-40.999603,1.670707,647.596985,161.060318
-83.605202,36.117924,-41.052334,1.819704,650.359924,155.144089
-83.329048,34.234428,-41.10516,1.961953,653.138428,149.392593
-83.051476,32.412529,-41.158096,2.097662,655.931335,143.80368
-82.77285,30.651266,-41.211155,2.227021,658.737061,138.375305
-82.493576,28.949757,-41.26437,2.350203,661.55426,133.105545
-82.213943,27.307089,-41.31778,2.467375,664.381653,127.992386
-81.934105,25.722261,-41.371429,2.578701,667.218018,123.033554
-81.654083,24.194103,-41.425365,2.684356,670.0625,118.226357
-81.373833,22.721329,-41.479645,2.784521,672.914185,113.567917
-81.093376,21.302626,-41.534298,2.879363,675.772034,109.055229
-80.812881,19.936747,-41.589375,2.969021,678.63501,104.685417
-80.532623,18.622562,-41.644924,3.053609,681.501465,100.455833
-80.252876,17.359043,-41.701004,3.133228,684.370117,96.363945
-79.973869,16.14517,-41.757683,3.207987,687.239502,92.407173
-79.695648,14.979833,-41.815033,3.278015,690.108521,88.582802
-79.418167,13.861805,-41.873138,3.34346,692.976257,84.887756
-79.141319,12.789757,-41.932102,3.404482,695.841797,81.318779
-78.865051,11.762347,-41.992001,3.461223,698.704285,77.872581
-78.589462,10.778324,-42.052948,3.513791,701.562378,74.545998
-78.314758,9.836575,-42.115032,3.56226,704.414734,71.336174
-78.041161,8.936099,-42.178341,3.606682,707.259888,68.240395
-77.768791,8.075917,-42.242966,3.647101,710.096619,65.255997
-77.497635,7.255001,-42.308983,3.683572,712.923645,62.380146
-77.227562,6.472208,-42.376465,3.716176,715.740234,59.609787
-76.958366,5.726308,-42.445503,3.745021,718.545532,56.941654
-76.69001,5.016064,-42.516163,3.770222,721.338745,54.372501
-76.422516,4.340333,-42.588531,3.791887,724.118652,51.899292
-76.156013,3.698109,-42.662689,3.810105,726.884033,49.519306
-75.890686,3.088488,-42.738731,3.824951,729.633423,47.230011
-75.626556,2.510601,-42.816772,3.836488,732.365784,45.028927
-75.363525,1.963516,-42.896904,3.844783,735.080139,42.913433
-75.101379,1.446203,-42.979233,3.849921,737.775818,40.880695
-74.839874,0.95755,-43.063828,3.852003,740.452087,38.927765
-74.578842,0.49646,-43.150742,3.851121,743.108398,37.051685
-74.318283,0.061925,-43.240032,3.847351,745.743713,35.249775
-74.058296,-0.346929,-43.331722,3.840753,748.356812,33.519615
-73.798981,-0.730866,-43.425846,3.831391,750.946716,31.85903
-73.540359,-1.090633,-43.522415,3.81934,753.512207,30.265903
-73.282265,-1.427031,-43.621468,3.804703,756.052856,28.738028
-73.02446,-1.74098,-43.723011,3.787602,758.568115,27.272987
-72.766647,-2.033456,-43.827084,3.768169,761.057617,25.868248
-72.508675,-2.305424,-43.933701,3.746519,763.520935,24.521332
-72.250496,-2.557745,-44.042885,3.72274,765.957397,23.229946
-71.992188,-2.791127,-44.154625,3.696879,768.366089,21.992088
-71.73381,-3.006181,-44.268913,3.668959,770.746155,20.806034
-71.475327,-3.203483,-44.385696,3.638993,773.096985,19.670111
-71.216583,-3.383686,-44.504936,3.607007,775.418152,18.582527
-70.95726,-3.547545,-44.626541,3.573063,777.709595,17.541346
-70.697083,-3.695891,-44.750427,3.537254,779.971191,16.544479
-70.435822,-3.82954,-44.876495,3.499683,782.202698,15.589872
-70.173454,-3.949196,-45.004654,3.460445,784.403809,14.675732
-69.910034,-4.055406,-45.134796,3.419621,786.57373,13.800568
-69.645653,-4.148616,-45.266865,3.377269,788.712097,12.963098
-69.380264,-4.229239,-45.400753,3.333443,790.81842,12.16213
-69.113678,-4.297767,-45.5364,3.288201,792.892517,11.39632
-68.845612,-4.354791,-45.673698,3.241612,794.934753,10.664151
-68.575768,-4.400979,-45.812527,3.19375,796.945129,9.963978
-68.304001,-4.436983,-45.952751,3.144675,798.923706,9.294222
-68.030289,-4.463335,-46.094212,3.094432,800.8703,8.653543
-67.754753,-4.480439,-46.236732,3.043051,802.784424,8.040865
-67.477463,-4.488589,-46.380146,2.990566,804.665894,7.455352
-67.198425,-4.488074,-46.524273,2.937027,806.51416,6.896232
-66.91748,-4.479273,-46.668964,2.882515,808.329712,6.362577
-66.634392,-4.462682,-46.814049,2.827142,810.11261,5.853287
-66.348946,-4.43888,-46.959389,2.771033,811.863342,5.367135
