L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.877109,1.090879,1.083189,1.048452,1.33063,1.543002,1.539755,1.532706,0.61495,0.621623,0.660929,0.701204,0.487798,0.466652,0.430654,0.388549,0.103212,0.053525,0.057932,0.040333,0.071734,0.103037,0.102425,0.078163
0.875037,1.088581,1.080895,1.045986,1.327968,1.540417,1.537012,1.529757,0.61508,0.621656,0.66095,0.701321,0.488339,0.466716,0.43065,0.388555,0.104045,0.053519,0.057952,0.040511,0.071605,0.1014,0.100907,0.076843
0.872838,1.086132,1.07845,1.043367,1.325227,1.53776,1.534201,1.526721,0.615224,0.62169,0.660974,0.701438,0.488886,0.466785,0.430655,0.388569,0.104951,0.053513,0.057973,0.040692,0.0715,0.099675,0.099306,0.075446
0.870526,1.083547,1.075868,1.040613,1.322442,1.53507,1.531363,1.52364,0.615383,0.621722,0.660999,0.701552,0.489428,0.466861,0.43067,0.388594,0.105929,0.053509,0.057996,0.040875,0.07143,0.097876,0.097636,0.073981
0.868121,1.080843,1.073167,1.037745,1.319647,1.532379,1.528535,1.520553,0.615555,0.621754,0.661027,0.701661,0.489952,0.466942,0.430696,0.38863,0.106977,0.053505,0.058019,0.041055,0.0714,0.096019,0.095908,0.072459
0.865643,1.078039,1.070367,1.034785,1.31687,1.529718,1.525751,1.517495,0.615738,0.621784,0.661056,0.701762,0.490447,0.467031,0.430735,0.388677,0.108094,0.053504,0.058045,0.041229,0.071417,0.094114,0.094132,0.070886
0.863111,1.075153,1.067486,1.031752,1.314133,1.527109,1.523033,1.514491,0.615932,0.621813,0.661087,0.701854,0.490904,0.467126,0.430789,0.388736,0.109278,0.053504,0.058072,0.041396,0.071485,0.092172,0.092317,0.06927
0.860545,1.072201,1.064542,1.028666,1.311448,1.524564,1.520397,1.511559,0.616132,0.621841,0.661118,0.701937,0.491312,0.467229,0.430857,0.388806,0.110529,0.053505,0.058102,0.041556,0.071604,0.090201,0.090469,0.067616
0.857962,1.069199,1.061551,1.025542,1.30882,1.52209,1.517848,1.50871,0.616335,0.621868,0.66115,0.702008,0.491668,0.46734,0.430938,0.388886,0.111843,0.053507,0.058135,0.041707,0.071775,0.088211,0.088594,0.065932
0.855379,1.066161,1.058528,1.022393,1.306247,1.519682,1.515384,1.505944,0.616538,0.621895,0.661181,0.702069,0.491966,0.467456,0.431032,0.388974,0.11322,0.05351,0.058171,0.041851,0.071993,0.086213,0.086701,0.064226
0.85281,1.063097,1.055484,1.019233,1.303721,1.517332,1.512995,1.503255,0.616739,0.621921,0.661212,0.702119,0.492207,0.467577,0.431134,0.389067,0.114657,0.053513,0.058209,0.041992,0.072251,0.084219,0.084804,0.062513
0.850268,1.060019,1.05243,1.016071,1.301232,1.515027,1.510666,1.500633,0.616936,0.621947,0.661242,0.702159,0.492393,0.467697,0.43124,0.38916,0.116155,0.053516,0.058251,0.04213,0.072542,0.082247,0.082919,0.060808
