FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
-82.177643,148.014511,0.011362,114.062416,590.162964,421.894226
-83.735939,146.666107,-0.948103,112.690491,593.852661,416.624481
-85.310425,145.279358,-1.91647,111.158531,597.522644,411.341095
-86.900124,143.854004,-2.892859,109.479561,601.178345,406.039276
-88.504021,142.389999,-3.876303,107.666145,604.824585,400.714935
-90.121017,140.88736,-4.865756,105.730431,608.46582,395.364532
-91.749985,139.346359,-5.860096,103.684067,612.105835,389.985229
-93.389786,137.767258,-6.858112,101.538269,615.748291,384.574677
-95.039192,136.150574,-7.858525,99.303795,619.396179,379.131042
-96.69696,134.496887,-8.859998,96.991035,623.052124,373.653107
-98.361725,132.8069,-9.86117,94.609856,626.71875,368.140106
-100.032043,131.081421,-10.860656,92.169754,630.397766,362.591583
-101.706329,129.321411,-11.857047,89.679749,634.091003,357.00766
-103.38295,127.527939,-12.848924,87.148491,637.799927,351.388824
-105.06012,125.702133,-13.834878,84.584229,641.525452,345.73587
-106.736115,123.845306,-14.813535,81.994804,645.268616,340.049927
-108.409195,121.958847,-15.783545,79.387604,649.029907,334.33255
-110.077606,120.044212,-16.743605,76.769653,652.809937,328.58551
-111.739677,118.102989,-17.692472,74.147606,656.608765,322.81076
-113.393707,116.136826,-18.629002,71.527748,660.426453,317.01062
-115.037994,114.147423,-19.55213,68.915909,664.262695,311.187561
-116.67083,112.136551,-20.460915,66.317596,668.117371,305.344177
-118.290482,110.105995,-21.354519,63.737949,671.989746,299.483337
-119.895302,108.057655,-22.23222,61.181793,675.879272,293.608032
-121.483643,105.993462,-23.093437,58.65361,679.785095,287.721283
-123.053986,103.915344,-23.937706,56.157524,683.706543,281.826416
-124.604881,101.825294,-24.764664,53.69733,687.642395,275.926727
-126.134949,99.725273,-25.574053,51.276543,691.591858,270.025757
-127.642891,97.617271,-26.365744,48.898354,695.553772,264.127014
-129.127411,95.503235,-27.139734,46.565647,699.526672,258.23407
-130.587234,93.385071,-27.896141,44.280987,703.509705,252.350479
-132.021072,91.264641,-28.635172,42.04668,707.501343,246.479889
-133.427689,89.143784,-29.35713,39.86475,711.500183,240.626007
-134.805908,87.024315,-30.062389,37.736954,715.504761,234.792435
-136.154617,84.90802,-30.751404,35.66478,719.513672,228.982864
-137.472748,82.796661,-31.424648,33.649452,723.525269,223.200851
-138.759338,80.691963,-32.082603,31.691988,727.537903,217.449997
-140.013443,78.595596,-32.72575,29.793182,731.550232,211.733826
-141.234222,76.509209,-33.354557,27.953608,735.560303,206.05571
-142.420792,74.434349,-33.96949,26.173616,739.566528,200.419067
-143.572311,72.37252,-34.571007,24.453394,743.5672,194.827255
-144.687988,70.32515,-35.159512,22.792971,747.560608,189.283432
-145.76709,68.293633,-35.735416,21.192226,751.544922,183.790787
-146.808899,66.279274,-36.299122,19.650871,755.51825,178.352402
-147.81279,64.283356,-36.85099,18.168461,759.478882,172.971191
-148.778198,62.307098,-37.391346,16.74444,763.425049,167.649963
-149.704636,60.351704,-37.920444,15.37816,767.354797,162.391495
-150.59166,58.418324,-38.438488,14.068845,771.266479,157.198303
-151.438889,56.50806,-38.945641,12.815584,775.158386,152.072891
-152.246033,54.621956,-39.442001,11.617369,779.028564,147.017654
-153.012817,52.760983,-39.927624,10.473136,782.875488,142.03479
-153.73909,50.926079,-40.402523,9.381781,786.697266,137.126404
-154.424728,49.118118,-40.866726,8.342133,790.492188,132.294403
-155.069702,47.337921,-41.320271,7.35297,794.258728,127.540649
-155.674026,45.586269,-41.763206,6.413055,797.995178,122.866806
-156.237854,43.863907,-42.195564,5.521166,801.700195,118.274445
-156.761307,42.171562,-42.617409,4.676081,805.372009,113.764984
-157.244614,40.509895,-43.028824,3.876542,809.009155,109.339745
-157.688004,38.879517,-43.429882,3.121271,812.610168,104.999863
-158.091782,37.280964,-43.820629,2.408999,816.173645,100.746361
-158.456238,35.714748,-44.201084,1.738478,819.698242,96.580162
