L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.852945,1.073297,1.074317,1.041214,0.30421,0.501238,0.505623,0.459594,0.590419,0.559537,0.607182,0.665454,0.418262,0.450756,0.401539,0.347267,0.077777,0.057631,0.069012,0.043939,0.149577,0.04956,0.0557,0.045454
0.84997,1.070426,1.071438,1.03821,0.303448,0.498516,0.502924,0.456962,0.590487,0.559591,0.607186,0.665638,0.418345,0.450991,0.401711,0.347311,0.077828,0.057395,0.068638,0.04382,0.152579,0.049575,0.055705,0.045972
0.846791,1.067354,1.068354,1.035001,0.302731,0.495637,0.50008,0.454173,0.590555,0.559645,0.607199,0.665826,0.418441,0.451231,0.401886,0.347364,0.077875,0.057158,0.06826,0.043698,0.15584,0.049617,0.055733,0.046568
0.843424,1.064093,1.065078,1.031602,0.302093,0.492624,0.497118,0.451252,0.590622,0.559699,0.607222,0.666016,0.418552,0.451471,0.40206,0.347423,0.077915,0.056924,0.067882,0.043573,0.159354,0.049697,0.055792,0.04725
0.83989,1.060663,1.061628,1.028035,0.301564,0.489508,0.494067,0.448226,0.590686,0.559751,0.607256,0.666205,0.418676,0.451707,0.402231,0.347489,0.077948,0.056698,0.067511,0.043449,0.163115,0.049825,0.055891,0.048029
0.836208,1.057081,1.058022,1.024322,0.301172,0.486319,0.490959,0.445125,0.590745,0.559801,0.6073,0.666391,0.418811,0.451935,0.402395,0.347563,0.07797,0.056482,0.067151,0.043326,0.16711,0.050014,0.056041,0.048916
0.832403,1.05337,1.054279,1.020486,0.300945,0.483089,0.487823,0.441981,0.590798,0.559847,0.607353,0.666573,0.418956,0.452152,0.40255,0.347644,0.077981,0.056279,0.066805,0.043207,0.171327,0.050275,0.056253,0.049921
0.828494,1.049547,1.050421,1.016549,0.300902,0.479846,0.484687,0.438823,0.590845,0.559889,0.607413,0.666748,0.419107,0.452353,0.402692,0.347732,0.07798,0.056092,0.066475,0.043094,0.175749,0.050621,0.056538,0.051055
0.824503,1.045631,1.046463,1.01253,0.301062,0.476618,0.481578,0.435679,0.590884,0.559928,0.607478,0.666918,0.419259,0.452535,0.402818,0.347826,0.077965,0.055921,0.066163,0.042986,0.180363,0.051068,0.05691,0.052328
0.820444,1.04164,1.042425,1.008447,0.301438,0.473431,0.478519,0.432572,0.590915,0.559963,0.607548,0.667079,0.419408,0.452693,0.402924,0.347924,0.077938,0.055766,0.06587,0.042886,0.185151,0.051626,0.057378,0.053748
0.816335,1.037586,1.038322,1.004313,0.302038,0.470306,0.475534,0.429527,0.590936,0.559996,0.607621,0.667231,0.41955,0.452823,0.403004,0.348026,0.077899,0.055629,0.065599,0.042792,0.190098,0.05231,0.057955,0.055323
0.812187,1.033484,1.034168,1.000141,0.302868,0.467265,0.472642,0.426563,0.590949,0.560027,0.607697,0.667374,0.419685,0.452922,0.403055,0.348131,0.077848,0.055507,0.065349,0.042704,0.195186,0.053128,0.058649,0.05706
0.80801,1.029343,1.029976,0.995941,0.303929,0.464328,0.469863,0.423699,0.590955,0.560057,0.607774,0.667507,0.41981,0.452985,0.403075,0.34824,0.077788,0.055402,0.065122,0.042622,0.2004,0.054091,0.05947,0.058964
0.803813,1.025171,1.025755,0.99172,0.305222,0.461518,0.467213,0.420953,0.590954,0.560089,0.607854,0.667632,0.41993,0.453011,0.403062,0.348353,0.077721,0.055313,0.064917,0.042545,0.20572,0.055204,0.060424,0.061039
0.799601,1.020977,1.021514,0.987486,0.306741,0.458853,0.464711,0.418341,0.590949,0.560121,0.607935,0.667749,0.420048,0.452997,0.403015,0.348472,0.077647,0.055238,0.064733,0.042473,0.211128,0.056472,0.061518,0.063286
0.795381,1.016766,1.017259,0.983243,0.308481,0.456358,0.462371,0.41588,0.590942,0.560156,0.608018,0.66786,0.420174,0.452942,0.402934,0.348597,0.077569,0.055177,0.064571,0.042404,0.216604,0.057895,0.062755,0.065706
0.791154,1.012543,1.012996,0.978995,0.310433,0.454053,0.460212,0.413588,0.590935,0.560194,0.608102,0.667965,0.420316,0.452844,0.40282,0.348731,0.077489,0.055128,0.064428,0.04234,0.222124,0.059471,0.064137,0.068297
0.786925,1.00831,1.008729,0.974743,0.312587,0.45196,0.45825,0.41148,0.590931,0.560236,0.608186,0.668067,0.420487,0.452702,0.40267,0.348873,0.077408,0.05509,0.064303,0.042279,0.227663,0.061194,0.065665,0.071051
0.782693,1.004072,1.004459,0.970491,0.314929,0.450102,0.456502,0.409575,0.590932,0.560282,0.608272,0.668167,0.4207,0.452516,0.402486,0.349023,0.077329,0.055062,0.064195,0.04222,0.233196,0.063054,0.067335,0.073962
0.77846,0.999829,1.00019,0.96624,0.317444,0.4485,0.454989,0.407893,0.59094,0.560333,0.608358,0.668265,0.420969,0.452283,0.402265,0.349181,0.077254,0.055041,0.064102,0.042163,0.238692,0.065041,0.069145,0.077019
0.774226,0.995585,0.995923,0.96199,0.320115,0.447178,0.453729,0.406451,0.590957,0.560389,0.608445,0.668363,0.421307,0.452004,0.402007,0.349345,0.077183,0.055027,0.064023,0.042108,0.244121,0.06714,0.071087,0.080207
0.769991,0.991339,0.991658,0.957741,0.322924,0.446159,0.452742,0.405272,0.590983,0.560449,0.608532,0.668461,0.421728,0.451678,0.40171,0.349509,0.077119,0.055018,0.063956,0.042055,0.249451,0.069337,0.073156,0.083511
0.765754,0.987092,0.987397,0.953495,0.325853,0.445467,0.452052,0.404378,0.59102,0.560515,0.608619,0.668559,0.422243,0.451304,0.401372,0.34967,0.077063,0.055013,0.0639,0.042003,0.254648,0.071614,0.075342,0.086912
0.761515,0.982846,0.98314,0.949252,0.328885,0.445125,0.451678,0.40379,0.591069,0.560584,0.608706,0.668657,0.422864,0.450884,0.400994,0.349821,0.077015,0.055012,0.063852,0.041952,0.259679,0.073956,0.077636,0.090389
0.757273,0.978599,0.978884,0.94501,0.332001,0.445153,0.451642,0.403531,0.591131,0.560657,0.608793,0.668754,0.423597,0.450418,0.400574,0.349954,0.076975,0.055013,0.063813,0.041903,0.264514,0.076344,0.080027,0.093921
0.753026,0.974353,0.974631,0.94077,0.33519,0.445571,0.451965,0.403625,0.591206,0.560732,0.608879,0.66885,0.424448,0.449911,0.400113,0.350062,0.076945,0.055015,0.063778,0.041855,0.269122,0.078763,0.082504,0.097487
0.748775,0.970106,0.970379,0.936532,0.338438,0.446392,0.452663,0.40409,0.591294,0.56081,0.608963,0.668944,0.425417,0.449364,0.399615,0.350137,0.076925,0.055019,0.063748,0.041809,0.273477,0.081195,0.085052,0.101064
0.744518,0.965859,0.966128,0.932295,0.341739,0.447627,0.453751,0.404945,0.591396,0.560887,0.609047,0.669035,0.4265,0.448782,0.399083,0.350176,0.076914,0.055023,0.063721,0.041764,0.277559,0.083622,0.087653,0.104627
0.740254,0.961612,0.961877,0.928058,0.345087,0.449279,0.455237,0.406203,0.591511,0.560965,0.609128,0.669125,0.427689,0.448175,0.398526,0.350176,0.076913,0.055028,0.063696,0.04172,0.281349,0.086025,0.090287,0.108152
0.735984,0.957364,0.957627,0.923822,0.348483,0.451346,0.457126,0.407869,0.59164,0.561041,0.609208,0.669211,0.428971,0.44755,0.397951,0.350139,0.076922,0.055031,0.063671,0.041677,0.284835,0.088383,0.092929,0.11161
0.731707,0.953116,0.953377,0.919585,0.351928,0.453819,0.459414,0.409944,0.59178,0.561114,0.609284,0.669293,0.430329,0.446919,0.397372,0.350068,0.076939,0.055035,0.063647,0.041635,0.288007,0.090673,0.095552,0.114973
0.727423,0.948868,0.949126,0.915348,0.355427,0.456682,0.462092,0.412424,0.591929,0.561184,0.609356,0.669371,0.431745,0.446296,0.396801,0.349971,0.076965,0.055037,0.063623,0.041595,0.290861,0.092875,0.098127,0.118211
0.723135,0.944619,0.944876,0.911111,0.358986,0.459918,0.465147,0.415296,0.592084,0.561249,0.609423,0.669443,0.433198,0.445693,0.396252,0.349858,0.076998,0.055037,0.0636,0.041556,0.293395,0.094967,0.100625,0.121294
0.718843,0.94037,0.940626,0.906873,0.362613,0.463505,0.468561,0.418546,0.592239,0.561308,0.609485,0.66951,0.434667,0.445127,0.395741,0.34974,0.077037,0.055036,0.063576,0.041518,0.29561,0.096929,0.103017,0.124195
0.714549,0.936121,0.936376,0.902634,0.366316,0.467421,0.472317,0.422156,0.592388,0.561361,0.609542,0.669569,0.436131,0.444609,0.39528,0.349628,0.077079,0.055033,0.063552,0.041482,0.297509,0.098744,0.105277,0.126886
0.710257,0.931872,0.932126,0.898395,0.370101,0.471644,0.476397,0.426104,0.592528,0.561407,0.609592,0.669622,0.437571,0.444154,0.394881,0.349534,0.077122,0.055028,0.063528,0.041447,0.299097,0.100399,0.107381,0.129342
0.705968,0.927623,0.927877,0.894156,0.373973,0.476158,0.480785,0.430371,0.592654,0.561447,0.609637,0.669667,0.43897,0.443773,0.394552,0.349469,0.077166,0.055021,0.063504,0.041414,0.300379,0.101883,0.10931,0.131544
0.701682,0.923375,0.923629,0.889917,0.377938,0.480945,0.485466,0.434938,0.592765,0.561479,0.609675,0.669705,0.440311,0.443475,0.394303,0.349444,0.077209,0.055012,0.06348,0.041383,0.301361,0.103189,0.111047,0.133472
0.6974,0.919128,0.919381,0.885678,0.381998,0.485995,0.490426,0.439787,0.592859,0.561505,0.609706,0.669735,0.441582,0.443268,0.394138,0.349467,0.077251,0.055,0.063457,0.041355,0.302048,0.104315,0.11258,0.135113
0.693122,0.914882,0.915135,0.88144,0.386155,0.491299,0.495655,0.444906,0.592935,0.561525,0.60973,0.669759,0.442773,0.443156,0.394064,0.349543,0.077292,0.054985,0.063433,0.04133,0.302445,0.105259,0.1139,0.136458
0.688848,0.910638,0.910891,0.877203,0.390408,0.496848,0.501145,0.450284,0.592993,0.561538,0.609747,0.669775,0.443875,0.443144,0.394084,0.349679,0.07733,0.054968,0.063408,0.041307,0.302557,0.106024,0.115003,0.137502
0.684577,0.906395,0.906648,0.872966,0.394757,0.502638,0.506889,0.455912,0.593035,0.561546,0.609758,0.669786,0.444882,0.443235,0.394198,0.349875,0.077367,0.054947,0.063383,0.041287,0.302386,0.106612,0.115887,0.138242
0.680309,0.902154,0.902407,0.868729,0.3992,0.508666,0.512884,0.461785,0.59306,0.561549,0.609763,0.66979,0.445791,0.443429,0.394407,0.350134,0.077402,0.054924,0.063356,0.041269,0.301936,0.107026,0.116557,0.138682
0.676042,0.897915,0.898167,0.864493,0.403736,0.514931,0.519129,0.467901,0.59307,0.561548,0.609762,0.66979,0.4466,0.443725,0.394709,0.350452,0.077435,0.054899,0.063328,0.041253,0.301206,0.107274,0.117016,0.138827
0.671777,0.893678,0.89393,0.860257,0.408362,0.521435,0.525624,0.47426,0.593066,0.561542,0.609755,0.669784,0.447308,0.444119,0.3951,0.350828,0.077467,0.05487,0.063298,0.041238,0.300198,0.107361,0.117274,0.138684
0.667511,0.889445,0.889695,0.856022,0.413079,0.52818,0.532371,0.480863,0.593051,0.561533,0.609744,0.669775,0.447918,0.444608,0.395577,0.351258,0.077497,0.054838,0.063265,0.041225,0.298913,0.107297,0.117341,0.138266
0.663244,0.885215,0.885462,0.851786,0.417885,0.53517,0.539368,0.487711,0.593025,0.561521,0.609729,0.669761,0.44843,0.445182,0.396134,0.351736,0.077525,0.054804,0.063231,0.041212,0.297349,0.107089,0.117227,0.137585
0.658976,0.880989,0.881232,0.84755,0.422783,0.542408,0.546615,0.494808,0.592991,0.561508,0.609711,0.669745,0.448848,0.445833,0.396766,0.352256,0.077552,0.054767,0.063193,0.041198,0.295506,0.106748,0.116945,0.136654
0.654706,0.876767,0.877005,0.843313,0.427774,0.5499,0.554111,0.502156,0.592951,0.561493,0.609691,0.669728,0.449174,0.44655,0.397465,0.352813,0.077578,0.054727,0.063153,0.041184,0.293383,0.106281,0.116504,0.13549
0.650433,0.872549,0.872781,0.839076,0.432859,0.557648,0.561856,0.509756,0.592906,0.561478,0.60967,0.66971,0.449415,0.447323,0.398222,0.3534,0.077604,0.054685,0.06311,0.041167,0.290981,0.1057,0.115919,0.134106
0.646157,0.868335,0.86856,0.834837,0.438042,0.565655,0.569847,0.517608,0.592859,0.561464,0.60965,0.669694,0.449578,0.448138,0.399027,0.354011,0.077629,0.054641,0.063064,0.041149,0.2883,0.105013,0.115201,0.132519
0.641878,0.864127,0.864343,0.830596,0.443325,0.573921,0.578084,0.525713,0.592812,0.561452,0.60963,0.669679,0.449672,0.448983,0.399867,0.354639,0.077655,0.054594,0.063016,0.041128,0.285341,0.104228,0.114364,0.130744
0.637598,0.859922,0.86013,0.826353,0.448714,0.582444,0.586563,0.534068,0.592765,0.561441,0.609611,0.669667,0.449706,0.449846,0.400729,0.355276,0.077682,0.054545,0.062966,0.041105,0.282107,0.103353,0.113419,0.128799
0.633317,0.855722,0.85592,0.822106,0.454215,0.591221,0.595279,0.54267,0.592721,0.561435,0.609594,0.66966,0.44969,0.450716,0.401602,0.355913,0.07771,0.054495,0.062913,0.041079,0.2786,0.102393,0.112377,0.126699
0.629037,0.851526,0.851714,0.817856,0.459836,0.600245,0.604226,0.551514,0.592678,0.561432,0.60958,0.669658,0.449634,0.45158,0.402473,0.356543,0.077742,0.054442,0.062858,0.04105,0.274825,0.101353,0.111249,0.124462
