L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.770614,0.845172,0.847835,0.809733,1.007185,1.199721,1.207117,1.178521,0.572337,0.564043,0.606442,0.643853,0.439468,0.465954,0.422864,0.37782,0.270336,0.097127,0.09051,0.110304,0.073481,0.049049,0.060285,0.044282
0.775079,0.852527,0.855179,0.816898,1.003654,1.196202,1.203638,1.174994,0.571522,0.564139,0.606521,0.643896,0.439505,0.465921,0.422883,0.377791,0.268071,0.09616,0.08983,0.109199,0.073529,0.048979,0.060205,0.044266
0.779896,0.860457,0.863119,0.824638,0.999887,1.192449,1.199923,1.17123,0.570646,0.564235,0.606605,0.643941,0.439541,0.465887,0.422899,0.377762,0.265537,0.095087,0.089076,0.107979,0.073583,0.048907,0.060123,0.044249
0.785052,0.868941,0.871635,0.832934,0.995908,1.188483,1.195992,1.167251,0.569714,0.564331,0.606691,0.643987,0.439576,0.465853,0.422911,0.377732,0.262718,0.093904,0.088246,0.106642,0.073643,0.048833,0.06004,0.044228
0.790531,0.877944,0.880696,0.841757,0.991743,1.184329,1.19187,1.163082,0.568736,0.564424,0.606777,0.644033,0.43961,0.465819,0.422918,0.377702,0.259604,0.092614,0.087339,0.105184,0.073709,0.048758,0.059957,0.044205
0.796315,0.887429,0.890263,0.851068,0.987418,1.180016,1.187584,1.158751,0.567721,0.564511,0.606862,0.644075,0.439641,0.465786,0.42292,0.377672,0.256189,0.091221,0.086358,0.103605,0.073781,0.048684,0.059874,0.04418
0.802387,0.897354,0.900294,0.860826,0.982961,1.175571,1.183161,1.154286,0.566684,0.56459,0.606941,0.644112,0.43967,0.465755,0.422919,0.377644,0.252475,0.089736,0.085307,0.101908,0.07386,0.04861,0.059793,0.044153
0.808729,0.90768,0.910741,0.870989,0.978397,1.17102,1.178627,1.149711,0.565636,0.564659,0.607013,0.644138,0.439696,0.465726,0.422915,0.377617,0.248467,0.08817,0.084191,0.100096,0.073946,0.04854,0.059713,0.044123
0.815325,0.918365,0.921559,0.881515,0.973752,1.166388,1.174005,1.14505,0.56459,0.564717,0.607075,0.644153,0.439719,0.465699,0.422909,0.377591,0.244175,0.086537,0.083016,0.098172,0.074038,0.048473,0.059636,0.044093
0.822161,0.929371,0.932702,0.892363,0.969044,1.161697,1.169317,1.140325,0.563555,0.564763,0.607124,0.644154,0.439738,0.465677,0.422901,0.377568,0.23961,0.084851,0.08179,0.096144,0.074136,0.048411,0.059562,0.044062
0.829226,0.940663,0.944127,0.903493,0.964292,1.156964,1.164581,1.135553,0.562542,0.564797,0.607161,0.64414,0.439754,0.465657,0.422891,0.377546,0.23479,0.083129,0.080524,0.094021,0.074242,0.048354,0.05949,0.044029
0.836511,0.952209,0.955797,0.914871,0.959513,1.152205,1.159812,1.13075,0.561559,0.564819,0.607184,0.644112,0.439766,0.465641,0.422879,0.377526,0.229733,0.081386,0.079225,0.091812,0.074352,0.048303,0.059421,0.043997
0.84401,0.963979,0.967674,0.926464,0.954719,1.147431,1.155023,1.125929,0.560613,0.564831,0.607198,0.644071,0.439777,0.465627,0.422865,0.377507,0.224461,0.079638,0.077906,0.089532,0.074466,0.048258,0.059356,0.043964
0.851718,0.975948,0.979728,0.938244,0.949924,1.14265,1.150224,1.1211,0.559712,0.564836,0.607205,0.644017,0.439787,0.465616,0.422851,0.377491,0.218995,0.077903,0.076579,0.087193,0.074582,0.048218,0.059292,0.043931
0.859632,0.988093,0.99193,0.950187,0.945135,1.13787,1.145423,1.11627,0.558861,0.564839,0.607209,0.643956,0.439799,0.465607,0.422835,0.377477,0.213362,0.076198,0.075258,0.084812,0.074697,0.048181,0.05923,0.043898
0.867749,1.000392,1.004259,0.96227,0.94036,1.133094,1.140625,1.111444,0.558065,0.564845,0.607214,0.643891,0.439815,0.465598,0.422819,0.377465,0.207585,0.074538,0.073959,0.082406,0.07481,0.048148,0.059171,0.043864
0.876068,1.012825,1.016693,0.974475,0.935601,1.128326,1.135836,1.106627,0.557329,0.56486,0.607225,0.643828,0.439835,0.465592,0.422803,0.377455,0.201691,0.07294,0.072698,0.079995,0.07492,0.048117,0.059112,0.043831
0.884584,1.025372,1.029215,0.986785,0.930861,1.123566,1.131056,1.10182,0.556653,0.564887,0.607248,0.643772,0.43986,0.465586,0.422786,0.377446,0.195703,0.071422,0.071492,0.077597,0.075024,0.048087,0.059054,0.043798
0.893294,1.038013,1.041808,0.999185,0.926139,1.118817,1.126287,1.097023,0.556039,0.564933,0.607287,0.643729,0.439893,0.46558,0.422769,0.377439,0.189648,0.069997,0.070358,0.075234,0.075123,0.048058,0.058998,0.043765
0.902194,1.05073,1.054458,1.011662,0.921434,1.114078,1.12153,1.092238,0.555488,0.565002,0.607348,0.643705,0.439934,0.465575,0.422751,0.377433,0.183549,0.068681,0.069312,0.072927,0.075215,0.048028,0.058942,0.043733
0.911277,1.063502,1.06715,1.024204,0.916745,1.109349,1.116783,1.087462,0.555001,0.565097,0.607433,0.643706,0.439985,0.465571,0.422733,0.377429,0.17743,0.067487,0.068372,0.070695,0.075298,0.047999,0.058886,0.043702
0.920535,1.076313,1.079868,1.036801,0.912066,1.104627,1.112046,1.082696,0.554579,0.56522,0.607544,0.643735,0.440048,0.465566,0.422714,0.377424,0.171318,0.066427,0.06755,0.06856,0.075374,0.047969,0.058831,0.043673
0.92996,1.089144,1.0926,1.049443,0.907395,1.099912,1.107316,1.077938,0.554225,0.565371,0.607682,0.643797,0.440121,0.465561,0.422695,0.377421,0.165237,0.065513,0.066861,0.066542,0.075443,0.047937,0.058776,0.043644
