L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.348286,0.513665,0.530642,0.506154,1.030378,1.205772,1.209917,1.199949,0.556069,0.522799,0.571469,0.617587,0.460737,0.481169,0.444192,0.400363,0.137002,0.048568,0.053752,0.042007,0.067662,0.147027,0.152652,0.128496
0.343507,0.507549,0.524074,0.499512,1.029327,1.204914,1.209431,1.199308,0.555949,0.523148,0.571507,0.617568,0.461298,0.481476,0.444627,0.401,0.139846,0.048315,0.053552,0.042055,0.066582,0.144886,0.150563,0.126314
0.338547,0.500909,0.517095,0.492458,1.027898,1.203784,1.208651,1.198245,0.555801,0.523378,0.571545,0.61756,0.461863,0.481853,0.445129,0.401598,0.142952,0.048066,0.053359,0.042128,0.065562,0.142414,0.148129,0.123819
0.333491,0.493777,0.509755,0.485042,1.026026,1.202321,1.207517,1.196689,0.555632,0.523473,0.571582,0.617565,0.462423,0.482305,0.445701,0.402151,0.146326,0.047832,0.053182,0.042233,0.064639,0.139587,0.145325,0.120993
0.328433,0.486215,0.502116,0.477324,1.02366,1.200478,1.205982,1.194601,0.55545,0.523438,0.571618,0.617582,0.462969,0.482839,0.446347,0.402664,0.149967,0.047623,0.053028,0.042379,0.063843,0.136394,0.142139,0.11783
0.323476,0.478311,0.494244,0.469367,1.020772,1.19822,1.204011,1.191976,0.555271,0.523306,0.571654,0.617612,0.463494,0.483453,0.447066,0.403164,0.153876,0.047455,0.052907,0.042576,0.063198,0.132844,0.13858,0.114338
0.318728,0.470176,0.486206,0.461236,1.01735,1.195528,1.201586,1.188841,0.555116,0.523129,0.571689,0.617651,0.463996,0.484145,0.447855,0.403687,0.158048,0.047343,0.052829,0.042835,0.06272,0.128959,0.134671,0.110539
0.314305,0.461933,0.478071,0.452995,1.013402,1.192393,1.1987,1.185249,0.555015,0.522972,0.571726,0.617698,0.464473,0.484907,0.44871,0.40428,0.162482,0.047304,0.052802,0.043171,0.062417,0.12478,0.130456,0.106473
0.310327,0.453703,0.469903,0.444704,1.008948,1.18882,1.195361,1.181261,0.555005,0.522901,0.571765,0.61775,0.464922,0.485728,0.449621,0.404983,0.167175,0.04736,0.052837,0.043599,0.062288,0.120364,0.125992,0.102197
0.306916,0.445596,0.461767,0.436423,1.00402,1.184816,1.191581,1.176935,0.555132,0.522967,0.57181,0.617803,0.465339,0.486595,0.450575,0.405821,0.172128,0.047535,0.052946,0.044136,0.062324,0.115777,0.121349,0.097779
0.304189,0.437705,0.453726,0.428209,0.998652,1.180395,1.187378,1.17232,0.555443,0.523206,0.571864,0.617855,0.465719,0.487494,0.451557,0.406805,0.177338,0.047857,0.053142,0.044805,0.062516,0.111098,0.116603,0.093298
0.302243,0.430108,0.44584,0.420117,0.99288,1.175571,1.182772,1.167451,0.55597,0.523639,0.57193,0.617904,0.466059,0.488409,0.452548,0.407928,0.182804,0.048354,0.05344,0.045627,0.062847,0.106402,0.111834,0.088832
0.301147,0.422867,0.438171,0.412204,0.986738,1.170357,1.177782,1.162348,0.556726,0.524268,0.572013,0.617944,0.466353,0.489323,0.45353,0.409168,0.188515,0.049056,0.053854,0.046625,0.063299,0.101767,0.107117,0.084458
0.30093,0.416024,0.430779,0.404527,0.980257,1.164772,1.172428,1.157014,0.5577,0.525074,0.572115,0.617974,0.4666,0.490218,0.454483,0.410488,0.194452,0.049989,0.054401,0.047823,0.063849,0.097259,0.102522,0.080242
