L_FCC_x,L_FM1_x,L_FM2_x,L_FM5_x,R_FCC_x,R_FM1_x,R_FM2_x,R_FM5_x,L_FCC_y,L_FM1_y,L_FM2_y,L_FM5_y,R_FCC_y,R_FM1_y,R_FM2_y,R_FM5_y,L_FCC_z,L_FM1_z,L_FM2_z,L_FM5_z,R_FCC_z,R_FM1_z,R_FM2_z,R_FM5_z
0.825606,1.02775,1.025325,1.007843,0.273675,0.367203,0.371252,0.34155,0.574244,0.54999,0.591884,0.640416,0.432094,0.450053,0.410589,0.367671,0.068526,0.049818,0.059536,0.040514,0.233145,0.065405,0.067434,0.067408
0.820505,1.022704,1.020256,1.002771,0.27772,0.36672,0.370975,0.340954,0.574285,0.549989,0.591866,0.640444,0.432757,0.450088,0.41068,0.368056,0.068529,0.049726,0.059478,0.040468,0.237817,0.0676,0.069567,0.0705
0.815061,1.017312,1.014845,0.997351,0.282043,0.366602,0.37105,0.340722,0.574316,0.549984,0.591841,0.640466,0.433503,0.450161,0.410808,0.368476,0.068532,0.049627,0.059423,0.040428,0.242592,0.069944,0.071861,0.073749
0.809304,1.011602,1.00912,0.991612,0.286624,0.36695,0.371572,0.340958,0.574333,0.549971,0.591807,0.640482,0.434335,0.450283,0.410981,0.368934,0.068533,0.049523,0.059372,0.040395,0.247384,0.072418,0.074301,0.077117
0.803272,1.005609,1.003118,0.98559,0.291437,0.367859,0.37263,0.341758,0.574334,0.549953,0.591762,0.640488,0.435254,0.450461,0.411207,0.36943,0.068533,0.049413,0.059328,0.040371,0.252106,0.074994,0.076862,0.080558
0.797001,0.999371,0.996879,0.979324,0.296454,0.369408,0.374304,0.34321,0.574317,0.549927,0.591706,0.640486,0.436258,0.450705,0.411496,0.369965,0.068533,0.049299,0.059291,0.040358,0.256674,0.07764,0.079515,0.08402
0.790531,0.992926,0.99044,0.972851,0.30165,0.371658,0.376658,0.345382,0.574283,0.549895,0.59164,0.640473,0.437339,0.451023,0.411854,0.37054,0.068533,0.049182,0.059264,0.040354,0.261013,0.080318,0.082221,0.087448
0.783898,0.98631,0.983838,0.966211,0.307001,0.374652,0.379738,0.348323,0.574231,0.549858,0.591562,0.640452,0.43849,0.451422,0.41229,0.371157,0.068534,0.049064,0.059246,0.04036,0.265055,0.082985,0.084938,0.090786
0.777136,0.979557,0.977108,0.959438,0.312491,0.378412,0.383569,0.352059,0.574162,0.549817,0.591474,0.640421,0.439701,0.451907,0.412807,0.371817,0.068537,0.048944,0.059236,0.040375,0.268742,0.085596,0.087619,0.093978
0.770275,0.972699,0.970278,0.952562,0.31811,0.382941,0.388159,0.356594,0.574078,0.549772,0.591377,0.640384,0.440961,0.452481,0.413409,0.372523,0.068544,0.048825,0.059234,0.040396,0.272028,0.088109,0.09022,0.096972
0.763343,0.965761,0.963375,0.945611,0.323856,0.388228,0.393497,0.361912,0.573981,0.549724,0.591272,0.640339,0.442262,0.453142,0.414095,0.373277,0.068555,0.048708,0.059238,0.040424,0.274876,0.090481,0.092693,0.099723
0.75636,0.958767,0.956418,0.938607,0.32973,0.394245,0.399559,0.367981,0.573872,0.549676,0.591162,0.640288,0.443596,0.45389,0.414862,0.374081,0.068572,0.048593,0.059247,0.040456,0.277259,0.092672,0.094999,0.10219
0.749347,0.951737,0.949427,0.93157,0.335738,0.40096,0.40631,0.374756,0.573755,0.549627,0.59105,0.640232,0.444953,0.454717,0.415704,0.374935,0.068596,0.048481,0.059259,0.040493,0.279157,0.094649,0.097101,0.104338
0.742318,0.944685,0.942413,0.924514,0.341885,0.408333,0.41371,0.382185,0.573632,0.549579,0.590938,0.640172,0.446329,0.455618,0.416614,0.375841,0.068629,0.048374,0.059273,0.040531,0.280561,0.096383,0.098967,0.106143
