FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
0,-33.270191,0,35.592411,0,705.518982
0,-33.247673,0,35.453785,0,704.798523
0,-33.240532,0,35.340942,0,704.090881
0,-33.24683,0,35.252235,0,703.394958
0,-33.264706,0,35.186081,0,702.709717
0,-33.292389,0,35.1409,0,702.034241
0,-33.328178,0,35.115173,0,701.367615
0,-33.370453,0,35.107498,0,700.709106
0,-33.417664,0,35.116547,0,700.057922
0,-33.468353,0,35.141037,0,699.413452
0,-33.521126,0,35.179718,0,698.775024
0,-33.57473,0,35.231445,0,698.142151
0,-33.627934,0,35.295139,0,697.514404
0,-33.679619,0,35.369789,0,696.891357
0,-33.728752,0,35.454391,0,696.272583
0,-33.774345,0,35.547958,0,695.657715
0,-33.815517,0,35.649586,0,695.04657
0,-33.851398,0,35.758438,0,694.438721
0,-33.881199,0,35.873703,0,693.834045
0,-33.904194,0,35.994576,0,693.2323
0,-33.919712,0,36.120312,0,692.633545
0,-33.92717,0,36.250221,0,692.037415
0,-33.926029,0,36.383678,0,691.444031
0,-33.915821,0,36.520077,0,690.853271
0,-33.896133,0,36.658791,0,690.265076
0,-33.8666,0,36.799271,0,689.679443
0,-33.8269,0,36.941006,0,689.096313
0,-33.776722,0,37.083508,0,688.515808
0,-33.71582,0,37.226288,0,687.937988
0,-33.644009,0,37.368889,0,687.362915
0,-33.561138,0,37.510895,0,686.79071
0,-33.467091,0,37.651951,0,686.221375
0,-33.361805,0,37.791725,0,685.655151
0,-33.245232,0,37.929859,0,685.092041
0,-33.117355,0,38.066025,0,684.532288
0,-32.978184,0,38.199966,0,683.976135
0,-32.827728,0,38.331463,0,683.423645
0,-32.666031,0,38.460293,0,682.875061
0,-32.493179,0,38.586224,0,682.330566
0,-32.309284,0,38.709064,0,681.790344
0,-32.114483,0,38.828674,0,681.2547
0,-31.908941,0,38.944931,0,680.723816
0,-31.692842,0,39.057693,0,680.197937
0,-31.466377,0,39.166821,0,679.677246
0,-31.229752,0,39.272209,0,679.161987
0,-30.983152,0,39.373798,0,678.652466
0,-30.726778,0,39.471527,0,678.148987
0,-30.460831,0,39.565319,0,677.651489
0,-30.185528,0,39.655125,0,677.160583
0.663633,-29.901079,2.706353,39.740936,0.050715,676.676208
0.610987,-29.607698,2.48911,39.822765,0.240819,676.19873
0.560689,-29.305595,2.281154,39.900585,0.421869,675.728394
0.512667,-28.994999,2.082346,39.974361,0.594049,675.265381
0.466852,-28.676128,1.892508,40.044067,0.757556,674.809998
0.423192,-28.349192,1.711448,40.109741,0.912603,674.362427
0.381643,-28.014391,1.53897,40.171406,1.059421,673.922913
0.342162,-27.671909,1.374871,40.229065,1.198256,673.491577
0.304703,-27.321934,1.218935,40.282707,1.329345,673.068604
0.269211,-26.964628,1.07095,40.332394,1.452912,672.654419
0.235625,-26.600163,0.930726,40.378197,1.569178,672.249084
0.203886,-26.228693,0.798093,40.420189,1.678379,671.852966
0.173936,-25.850388,0.672887,40.45842,1.780767,671.466248
0.145724,-25.465405,0.554927,40.492947,1.876593,671.089294
0.119193,-25.073891,0.44402,40.523876,1.966096,670.722168
0.094282,-24.675983,0.339959,40.551319,2.049497,670.365295
0.070925,-24.271803,0.242528,40.575363,2.127008,670.01886
0.049062,-23.861477,0.151496,40.596092,2.198835,669.683167
0.028641,-23.445118,0.066619,40.613625,2.265183,669.358521
0.009608,-23.022839,-0.012335,40.628113,2.326258,669.045227
-0.008084,-22.594755,-0.085581,40.639694,2.382271,668.74353
-0.024479,-22.160999,-0.153319,40.648483,2.433429,668.453857
-0.039618,-21.72171,-0.215741,40.654606,2.479927,668.176453
-0.053542,-21.27702,-0.273023,40.658234,2.521955,667.911621
-0.066302,-20.827044,-0.325331,40.659515,2.559702,667.65979
-0.07796,-20.371899,-0.37282,40.658592,2.593356,667.421143
-0.088583,-19.911684,-0.415658,40.655548,2.623097,667.196228
-0.09823,-19.446508,-0.454029,40.650517,2.649097,666.985352
-0.106952,-18.976465,-0.488123,40.643639,2.671521,666.788757
-0.114792,-18.501656,-0.518133,40.635029,2.690547,666.606995
-0.121783,-18.02219,-0.544252,40.624752,2.706352,666.440247
-0.127953,-17.538189,-0.566685,40.612862,2.719097,666.289001
-0.133337,-17.049746,-0.585633,40.599468,2.728917,666.153625
-0.137974,-16.556952,-0.601284,40.584671,2.73593,666.034485
-0.141914,-16.059877,-0.613807,40.56855,2.740261,665.931885
-0.1452,-15.558606,-0.62336,40.551132,2.742051,665.846313
-0.147873,-15.053231,-0.630103,40.532475,2.741455,665.778198
-0.149973,-14.543838,-0.634193,40.512665,2.738625,665.727844
-0.151541,-14.030501,-0.635778,40.491795,2.733704,665.695618
-0.152617,-13.513306,-0.635008,40.46991,2.726816,665.682129
-0.153238,-12.99234,-0.632046,40.447006,2.718069,665.687439
-0.153428,-12.467694,-0.627069,40.423141,2.707561,665.712097
-0.153212,-11.939443,-0.620257,40.398392,2.695385,665.75647
-0.152618,-11.407663,-0.611776,40.372841,2.681644,665.820984
-0.151681,-10.872444,-0.60178,40.3465,2.666447,665.905945
-0.150448,-10.333884,-0.590409,40.319408,2.649898,666.011658
-0.148966,-9.792077,-0.577781,40.29163,2.632088,666.138489
-0.147283,-9.247106,-0.563985,40.263287,2.613096,666.286804
-0.145436,-8.69905,-0.549095,40.234432,2.592991,666.456848
-0.14345,-8.148005,-0.533178,40.205116,2.57183,666.648926
