FP1_x,FP2_x,FP1_y,FP2_y,FP1_z,FP2_z
46.50811,-40.802635,-11.209571,-0.538278,432.596588,653.14978
44.525715,-43.384331,-11.579684,-0.46901,427.958649,656.041077
42.614826,-46.0672,-11.959481,-0.334632,423.295685,658.917297
40.770248,-48.842232,-12.347073,-0.138433,418.605713,661.782288
38.987236,-51.700714,-12.740599,0.116423,413.887512,664.639893
37.261456,-54.63422,-13.138249,0.426876,409.140106,667.493286
35.588947,-57.634609,-13.53827,0.789955,404.363007,670.345398
33.966064,-60.693981,-13.938965,1.202759,399.556122,673.19873
32.389435,-63.804626,-14.338716,1.662456,394.719879,676.055725
30.855953,-66.958977,-14.735985,2.16628,389.854828,678.918335
29.362799,-70.149635,-15.129339,2.711553,384.962036,681.788391
27.907421,-73.369385,-15.517451,3.295676,380.042664,684.667358
26.487558,-76.611244,-15.899086,3.916132,375.098206,687.556702
25.101231,-79.868568,-16.273088,4.570489,370.130402,690.457275
23.746702,-83.135071,-16.638369,5.256383,365.141235,693.369995
22.422445,-86.404816,-16.993919,5.971517,360.132904,696.295593
21.127111,-89.672195,-17.338797,6.713655,355.107697,699.234314
19.85948,-92.931877,-17.672165,7.480605,350.068237,702.186584
18.618422,-96.178734,-17.993273,8.270192,345.017181,705.15271
17.402878,-99.407806,-18.301468,9.080269,339.957428,708.132446
16.211868,-102.614319,-18.596203,9.908715,334.891846,711.125793
15.044484,-105.793686,-18.877026,10.753436,329.823517,714.132385
13.899928,-108.941521,-19.1436,11.612372,324.755554,717.151672
12.777514,-112.053726,-19.39567,12.483495,319.691071,720.182983
11.676653,-115.126419,-19.633051,13.364811,314.633362,723.225586
10.596835,-118.156013,-19.855623,14.25436,309.585602,726.278381
9.537591,-121.139137,-20.06332,15.150218,304.551117,729.340637
8.498483,-124.072533,-20.25614,16.050488,299.533264,732.411133
7.479104,-126.953148,-20.434128,16.953304,294.53537,735.488586
6.47903,-129.777939,-20.597374,17.856819,289.560699,738.571594
5.497852,-132.543991,-20.746023,18.759214,284.61264,741.658569
4.535148,-135.248489,-20.880274,19.658688,279.694366,744.747803
3.590554,-137.888763,-21.000368,20.553459,274.809052,747.837585
2.663765,-140.462311,-21.106613,21.441788,269.959869,750.925781
1.754567,-142.966904,-21.199347,22.321987,265.149963,754.010498
0.862834,-145.400497,-21.278942,23.192429,260.382416,757.089417
-0.011529,-147.761261,-21.345793,24.051537,255.660095,760.160461
-0.868617,-150.047501,-21.400309,24.8978,250.985886,763.221191
